#,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.7.0', start_date='2019-10-31T01:06:38', checksum=2009905994, kind='mean', investigation_time=50.0"
lon,lat,PGA-0.1,PGA-0.05,PGA-0.01,SA(0.22)-0.1,SA(0.2)-0.05,SA(0.2)-0.01,SA(0.5)-0.1,SA(0.5)-0.05,SA(0.5)-0.01,SA(1.0)-0.1,SA(1.0)-0.05,SA(1.0)-0.01
13.18213,46.10000,2.968801E-01,4.004048E-01,7.387928E-01,6.824192E-01,9.261009E-01,1.733396E+00,4.215751E-01,5.904763E-01,1.195046E+00,1.985056E-01,2.895001E-01,6.306588E-01
13.38213,42.40000,4.395184E-01,5.879783E-01,1.090606E+00,1.008733E+00,1.356900E+00,2.574300E+00,6.694081E-01,9.542353E-01,1.965130E+00,3.455533E-01,5.156487E-01,1.153401E+00
