T,Sa
3.24,0.120828858
3.25,0.120457077
3.26,0.120087577
3.27,0.119720336
3.28,0.119355335
3.29,0.118992553
3.3,0.11863197
3.31,0.118273565
3.32,0.117917319
3.33,0.117563213
3.34,0.117211228
3.35,0.116861343
3.36,0.116513542
3.37,0.116167804
3.38,0.115824112
3.39,0.115482448
3.4,0.115142794
3.41,0.114805132
3.42,0.114469444
3.43,0.114135714
3.44,0.113803924
3.45,0.113474058
3.46,0.113146098
3.47,0.112820029
3.48,0.112495833
3.49,0.112173496
3.5,0.111853
3.51,0.11153433
3.52,0.111217472
3.53,0.110902408
3.54,0.110589124
3.55,0.110277606
3.56,0.109967837
3.57,0.109659804
3.58,0.109353492
3.59,0.109048886
3.6,0.108745972
3.61,0.108444737
3.62,0.108145166
3.63,0.107847245
3.64,0.107550962
3.65,0.107256301
3.66,0.106963251
3.67,0.106671798
3.68,0.106381929
3.69,0.106093631
3.7,0.105806892
3.71,0.105521698
3.72,0.105238038
3.73,0.104955898
3.74,0.104675267
3.75,0.104396133
3.76,0.104118484
3.77,0.103842308
3.78,0.103567593
3.79,0.103294327
3.8,0.1030225
3.81,0.102590285
3.82,0.102053867
3.83,0.101521644
3.84,0.100993574
3.85,0.100469613
3.86,0.09994972
3.87,0.099433851
3.88,0.098921966
3.89,0.098414023
3.9,0.097909983
3.91,0.097409805
3.92,0.09691345
3.93,0.09642088
3.94,0.095932055
3.95,0.095446937
3.96,0.094965491
3.97,0.094487678
3.98,0.094013462
3.99,0.093542807
4,0.093075678
