source;record_sequence_number_NGA;event_id;ev_depth_km;Mw;M;epi_lat;epi_lon;network_code;station_code;sensor_depth_m;proximity_code;GMX_first;ec8_code;vs30_m_sec;epi_dist;rotD50_pga;rotD50_T0_010;rotD50_T0_025;rotD50_T0_040;rotD50_T0_050;rotD50_T0_070;rotD50_T0_100;rotD50_T0_150;rotD50_T0_200;rotD50_T0_250;rotD50_T0_300;rotD50_T0_350;rotD50_T0_400;rotD50_T0_450;rotD50_T0_500;rotD50_T0_600;rotD50_T0_700;rotD50_T0_750;rotD50_T0_800;rotD50_T0_900;rotD50_T1_000;rotD50_T1_200;rotD50_T1_400;rotD50_T1_600;rotD50_T1_800;rotD50_T2_000;rotD50_T2_500;rotD50_T3_000;rotD50_T3_500;rotD50_T4_000;rotD50_T5_000;rotD50_T6_000;rotD50_T7_000;rotD50_T8_000;rotD50_T9_000;rotD50_T10_000
NGA-West2;275;65;7.63;;4.85;37.546;-118.8823;;36;;;A;;350.54;10.49;1.76E-02;1.77E-02;1.77E-02;2.41E-02;1.97E-02;2.94E-02;9.83E-02;1.16E-01;8.58E-02;1.03E-01;5.08E-02;3.74E-02;3.26E-02;1.71E-02;1.45E-02;8.62E-03;6.34E-03;7.51E-03;5.12E-03;3.26E-03;1.74E-03;9.30E-04;6.60E-04;4.96E-04;3.84E-04;3.06E-04;1.91E-04;1.31E-04;9.62E-05;7.35E-05;4.68E-05;3.24E-05;2.37E-05;1.82E-05;1.43E-05;1.16E-05
NGA-West2;276;65;7.63;;4.85;37.546;-118.8823;;45;;;I;;425.81;8.57;5.39E-02;5.44E-02;5.44E-02;1.35E-01;2.63E-01;3.40E-01;2.30E-01;1.90E-01;1.03E-01;1.76E-01;1.05E-01;8.44E-02;5.03E-02;5.62E-02;4.92E-02;5.20E-02;3.01E-02;2.21E-02;1.69E-02;1.19E-02;1.06E-02;5.77E-03;3.64E-03;2.49E-03;1.91E-03;1.60E-03;1.03E-03;7.40E-04;6.16E-04;4.16E-04;2.29E-04;1.48E-04;1.07E-04;8.21E-05;6.49E-05;5.26E-05
NGA-West2;277;65;7.63;;4.85;37.546;-118.8823;;40;;;A;;454.12;6.15;3.04E-02;3.07E-02;3.07E-02;7.72E-02;1.57E-01;1.55E-01;1.51E-01;1.38E-01;7.75E-02;5.47E-02;3.31E-02;2.19E-02;1.59E-02;1.75E-02;9.15E-03;8.11E-03;9.05E-03;1.12E-02;5.43E-03;4.24E-03;3.95E-03;2.40E-03;1.36E-03;1.47E-03;6.00E-04;4.44E-04;2.99E-04;1.46E-04;1.01E-04;7.88E-05;6.09E-05;4.26E-05;2.94E-05;2.05E-05;1.57E-05;1.27E-05
NGA-West2;278;65;7.63;;4.85;37.546;-118.8823;;52;;;A;;653.56;7.49;1.59E-01;1.60E-01;1.60E-01;3.31E-01;1.32E+00;5.57E-01;5.89E-01;2.92E-01;1.85E-01;2.52E-01;1.05E-01;5.99E-02;6.34E-02;3.82E-02;5.68E-02;6.53E-02;5.68E-02;5.04E-02;4.31E-02;2.08E-02;1.16E-02;7.69E-03;3.08E-03;2.17E-03;1.59E-03;1.21E-03;7.10E-04;4.60E-04;3.24E-04;2.45E-04;1.56E-04;1.09E-04;8.16E-05;6.24E-05;4.89E-05;3.96E-05
NGA-West2;279;66;7;;5.2;39.28;22.87;;-999;;;C;;412.68;14.76;7.12E-02;7.18E-02;7.18E-02;1.05E-01;1.42E-01;2.31E-01;2.46E-01;3.25E-01;2.76E-01;3.25E-01;1.83E-01;2.00E-01;1.84E-01;1.85E-01;1.30E-01;1.79E-01;1.52E-01;1.24E-01;1.62E-01;2.01E-01;1.77E-01;1.18E-01;6.27E-02;3.48E-02;2.53E-02;2.62E-02;2.25E-02;1.37E-02;7.22E-03;3.84E-03;1.75E-03;1.36E-03;9.62E-04;6.44E-04;5.17E-04;4.17E-04
NGA-West2;280;67;15.1;;7.2;41.074;-124.61;;89324;;;A;;311.75;76.75;1.05E-01;1.05E-01;1.05E-01;1.15E-01;1.12E-01;1.53E-01;3.33E-01;5.94E-01;6.51E-01;5.99E-01;4.45E-01;4.01E-01;2.23E-01;1.99E-01;1.75E-01;3.21E-01;1.80E-01;1.46E-01;1.69E-01;3.40E-01;2.22E-01;7.95E-02;6.98E-02;4.19E-02;8.24E-02;7.46E-02;3.35E-02;2.34E-02;2.47E-02;1.78E-02;2.51E-02;1.76E-02;1.12E-02;7.26E-03;4.79E-03;3.26E-03
NGA-West2;281;67;15.1;;7.2;41.074;-124.61;;89324;;;A;;311.75;76.75;1.54E-01;1.54E-01;1.54E-01;1.78E-01;1.98E-01;2.82E-01;4.55E-01;5.28E-01;5.53E-01;1.14E+00;1.05E+00;8.53E-01;8.31E-01;3.77E-01;3.41E-01;5.12E-01;2.07E-01;1.81E-01;2.41E-01;4.23E-01;2.44E-01;9.10E-02;7.62E-02;4.75E-02;8.33E-02;7.11E-02;3.40E-02;2.40E-02;2.13E-02;1.83E-02;2.81E-02;1.85E-02;9.85E-03;5.61E-03;3.89E-03;2.84E-03
NGA-West2;282;67;15.1;;7.2;41.074;-124.61;;89324;;;A;;311.75;76.75;1.51E-01;1.51E-01;1.51E-01;1.65E-01;1.91E-01;3.03E-01;6.06E-01;6.71E-01;5.95E-01;1.17E+00;1.20E+00;1.14E+00;5.17E-01;3.07E-01;2.80E-01;4.54E-01;1.84E-01;1.67E-01;2.00E-01;3.91E-01;2.38E-01;8.34E-02;7.12E-02;4.30E-02;8.15E-02;7.01E-02;3.45E-02;1.78E-02;1.99E-02;1.58E-02;2.76E-02;1.72E-02;9.34E-03;5.54E-03;3.72E-03;2.69E-03
NGA-West2;283;68;9.5;;6.9;40.8059;15.3372;;-999;;;A;;612.78;77.23;3.17E-02;3.17E-02;3.17E-02;3.51E-02;4.59E-02;4.25E-02;9.24E-02;1.43E-01;2.55E-01;1.73E-01;1.36E-01;1.07E-01;1.62E-01;1.62E-01;1.28E-01;1.05E-01;7.99E-02;6.17E-02;6.93E-02;8.24E-02;5.25E-02;6.30E-02;3.47E-02;3.62E-02;4.22E-02;2.94E-02;1.11E-02;7.23E-03;4.84E-03;2.87E-03;1.52E-03;8.54E-04;5.84E-04;4.00E-04;2.91E-04;2.30E-04
NGA-West2;284;68;9.5;;6.9;40.8059;15.3372;;-999;;;A;;476.62;33.1;6.83E-02;6.88E-02;6.88E-02;8.93E-02;1.15E-01;1.58E-01;3.79E-01;2.76E-01;4.50E-01;3.67E-01;3.20E-01;3.01E-01;2.40E-01;2.07E-01;1.66E-01;2.71E-01;1.49E-01;9.99E-02;1.48E-01;1.11E-01;9.90E-02;8.40E-02;9.63E-02;1.00E-01;5.35E-02;4.91E-02;1.76E-02;2.07E-02;2.20E-02;1.66E-02;4.40E-03;4.07E-03;2.47E-03;1.67E-03;1.07E-03;7.79E-04
NGA-West2;285;68;9.5;;6.9;40.8059;15.3372;;-999;;;A;;649.67;22.65;1.51E-01;1.51E-01;1.51E-01;2.05E-01;3.34E-01;4.26E-01;7.04E-01;7.30E-01;7.86E-01;4.83E-01;3.90E-01;4.09E-01;4.22E-01;4.92E-01;6.16E-01;4.68E-01;4.36E-01;3.40E-01;3.34E-01;3.67E-01;3.23E-01;5.54E-01;5.13E-01;2.90E-01;2.33E-01;2.38E-01;1.54E-01;7.60E-02;7.59E-02;6.47E-02;4.50E-02;3.08E-02;2.17E-02;1.50E-02;1.08E-02;7.40E-03
NGA-West2;286;68;9.5;;6.9;40.8059;15.3372;;-999;;;A;;496.46;23.26;8.25E-02;8.31E-02;8.31E-02;9.65E-02;9.28E-02;9.69E-02;1.36E-01;2.94E-01;3.04E-01;4.03E-01;3.19E-01;4.32E-01;3.06E-01;5.04E-01;3.13E-01;2.84E-01;2.14E-01;1.98E-01;2.15E-01;2.69E-01;3.41E-01;2.34E-01;2.08E-01;1.63E-01;2.15E-01;3.36E-01;1.07E-01;1.20E-01;5.35E-02;5.79E-02;6.26E-02;3.61E-02;2.39E-02;2.34E-02;1.89E-02;1.43E-02
NGA-West2;287;68;9.5;;6.9;40.8059;15.3372;;-999;;;A;;356.39;51.61;4.48E-02;4.50E-02;4.50E-02;1.43E-01;1.29E-01;8.65E-02;1.12E-01;1.47E-01;3.27E-01;2.78E-01;2.28E-01;1.97E-01;2.15E-01;1.52E-01;1.35E-01;1.80E-01;8.91E-02;8.71E-02;9.94E-02;7.76E-02;8.82E-02;4.94E-02;6.59E-02;2.92E-02;2.10E-02;2.29E-02;2.23E-02;9.41E-03;6.77E-03;6.77E-03;3.22E-03;1.41E-03;7.76E-04;5.12E-04;3.88E-04;3.08E-04
NGA-West2;288;68;9.5;;6.9;40.8059;15.3372;;-999;;;A;;561.04;46.16;2.05E-01;2.06E-01;2.06E-01;2.86E-01;4.33E-01;6.53E-01;8.81E-01;1.22E+00;1.69E+00;1.38E+00;6.21E-01;7.03E-01;8.21E-01;4.46E-01;5.04E-01;4.28E-01;2.93E-01;2.68E-01;2.40E-01;2.58E-01;2.61E-01;1.86E-01;1.23E-01;1.52E-01;7.32E-02;5.06E-02;4.26E-02;6.25E-02;4.93E-02;2.28E-02;1.17E-02;5.65E-03;2.95E-03;1.84E-03;1.39E-03;1.09E-03
NGA-West2;289;68;9.5;;6.9;40.8059;15.3372;;-999;;;A;;455.93;15.04;1.38E-01;1.38E-01;1.38E-01;1.63E-01;1.87E-01;2.31E-01;3.21E-01;4.26E-01;5.33E-01;7.51E-01;7.59E-01;9.20E-01;5.69E-01;6.90E-01;7.85E-01;4.93E-01;4.18E-01;5.97E-01;6.61E-01;9.78E-01;5.95E-01;5.19E-01;3.25E-01;3.53E-01;2.03E-01;2.00E-01;1.23E-01;1.36E-01;6.12E-02;6.68E-02;1.85E-02;1.49E-02;6.70E-03;4.80E-03;3.43E-03;2.70E-03
NGA-West2;290;68;9.5;;6.9;40.8059;15.3372;;-999;;;A;;428.57;48.31;1.38E-01;1.39E-01;1.39E-01;1.48E-01;1.55E-01;1.89E-01;2.08E-01;3.57E-01;1.08E+00;7.00E-01;6.60E-01;5.48E-01;4.30E-01;3.34E-01;5.54E-01;3.85E-01;4.97E-01;5.06E-01;5.99E-01;5.67E-01;2.62E-01;1.39E-01;7.77E-02;4.49E-02;4.50E-02;3.75E-02;2.75E-02;1.25E-02;8.10E-03;5.28E-03;2.53E-03;1.65E-03;1.22E-03;9.09E-04;7.04E-04;5.65E-04
NGA-West2;291;68;9.5;;6.9;40.8059;15.3372;;-999;;;A;;574.88;31.1;9.64E-02;9.67E-02;9.67E-02;1.67E-01;1.75E-01;3.95E-01;5.32E-01;4.82E-01;9.75E-01;9.02E-01;5.26E-01;4.32E-01;3.96E-01;3.68E-01;5.07E-01;2.76E-01;4.63E-01;2.73E-01;3.29E-01;2.12E-01;1.35E-01;1.04E-01;9.46E-02;1.36E-01;7.10E-02;5.73E-02;4.14E-02;4.15E-02;3.08E-02;1.54E-02;5.18E-03;3.22E-03;1.70E-03;1.31E-03;9.92E-04;1.00E-03
NGA-West2;292;68;9.5;;6.9;40.8059;15.3372;;-999;;;A;;382;30.35;2.82E-01;2.83E-01;2.83E-01;3.33E-01;4.18E-01;4.56E-01;6.96E-01;1.60E+00;1.68E+00;1.34E+00;1.73E+00;1.17E+00;1.14E+00;1.26E+00;9.46E-01;8.07E-01;7.31E-01;6.19E-01;4.85E-01;5.46E-01;6.73E-01;4.39E-01;5.11E-01;4.48E-01;4.10E-01;3.32E-01;4.46E-01;3.10E-01;2.41E-01;1.57E-01;9.40E-02;6.04E-02;3.59E-02;2.67E-02;2.07E-02;1.55E-02
NGA-West2;293;68;9.5;;6.9;40.8059;15.3372;;-999;;;A;;593.35;80.12;4.75E-02;4.76E-02;4.76E-02;5.79E-02;6.44E-02;6.85E-02;1.39E-01;1.37E-01;2.14E-01;2.15E-01;2.05E-01;3.16E-01;3.13E-01;3.32E-01;2.70E-01;3.00E-01;2.60E-01;2.42E-01;2.22E-01;1.19E-01;9.32E-02;9.08E-02;8.70E-02;8.20E-02;6.51E-02;2.76E-02;2.58E-02;1.97E-02;3.22E-02;2.08E-02;2.30E-02;2.59E-02;1.99E-02;1.20E-02;8.03E-03;5.18E-03
NGA-West2;294;68;9.5;;6.9;40.8059;15.3372;;-999;;;A;;496.46;72.14;3.90E-02;3.91E-02;3.91E-02;4.62E-02;4.90E-02;7.25E-02;1.48E-01;2.71E-01;2.14E-01;2.33E-01;1.64E-01;1.29E-01;1.83E-01;1.98E-01;1.74E-01;9.99E-02;1.36E-01;9.07E-02;1.42E-01;1.04E-01;1.38E-01;1.12E-01;1.03E-01;6.74E-02;7.89E-02;7.62E-02;6.28E-02;3.07E-02;4.10E-02;2.51E-02;1.28E-02;8.52E-03;4.87E-03;2.78E-03;2.17E-03;1.50E-03
NGA-West2;295;69;7;;6.2;40.8464;15.3316;;-999;;;A;;476.62;37.15;2.33E-02;2.34E-02;2.34E-02;2.62E-02;2.92E-02;3.97E-02;7.93E-02;8.96E-02;8.40E-02;1.10E-01;9.64E-02;1.48E-01;1.88E-01;9.70E-02;8.43E-02;4.47E-02;3.31E-02;3.84E-02;3.78E-02;4.28E-02;4.56E-02;3.14E-02;5.02E-02;5.19E-02;2.92E-02;3.82E-02;3.25E-02;1.65E-02;1.18E-02;1.15E-02;5.07E-03;5.61E-03;4.72E-03;3.97E-03;2.66E-03;1.57E-03
NGA-West2;296;69;7;;6.2;40.8464;15.3316;;-999;;;A;;649.67;22.29;5.17E-02;5.21E-02;5.21E-02;5.51E-02;6.22E-02;8.36E-02;1.79E-01;1.66E-01;1.55E-01;1.23E-01;1.29E-01;1.36E-01;1.38E-01;1.10E-01;2.49E-01;1.50E-01;1.28E-01;1.02E-01;9.62E-02;1.03E-01;9.73E-02;9.68E-02;5.69E-02;3.77E-02;3.97E-02;2.43E-02;1.56E-02;1.16E-02;8.96E-03;3.20E-03;2.18E-03;1.24E-03;6.47E-04;4.65E-04;3.93E-04;3.07E-04
NGA-West2;297;69;7;;6.2;40.8464;15.3316;;-999;;;A;;496.46;18.89;6.63E-02;6.64E-02;6.64E-02;7.04E-02;7.19E-02;7.46E-02;8.15E-02;1.57E-01;2.22E-01;2.58E-01;2.58E-01;3.52E-01;4.29E-01;2.25E-01;2.80E-01;2.03E-01;1.66E-01;1.46E-01;2.16E-01;2.77E-01;2.85E-01;2.24E-01;1.95E-01;1.39E-01;1.71E-01;1.50E-01;9.16E-02;6.34E-02;8.24E-02;6.90E-02;4.68E-02;1.84E-02;1.28E-02;9.54E-03;5.63E-03;3.86E-03
NGA-West2;298;69;7;;6.2;40.8464;15.3316;;-999;;;A;;356.39;47.45;3.00E-02;3.06E-02;3.06E-02;5.24E-02;1.02E-01;6.87E-02;8.45E-02;1.11E-01;1.65E-01;1.79E-01;1.99E-01;1.35E-01;1.30E-01;1.34E-01;1.13E-01;6.47E-02;6.43E-02;7.42E-02;8.06E-02;6.65E-02;5.31E-02;4.65E-02;4.26E-02;3.96E-02;2.58E-02;1.67E-02;9.16E-03;6.58E-03;3.43E-03;3.37E-03;1.75E-03;9.37E-04;6.03E-04;4.02E-04;3.21E-04;2.55E-04
NGA-West2;299;69;7;;6.2;40.8464;15.3316;;-999;;;A;;561.04;50.24;3.95E-02;3.98E-02;3.98E-02;4.41E-02;5.68E-02;8.97E-02;1.39E-01;2.72E-01;3.61E-01;1.20E-01;2.10E-01;1.84E-01;1.96E-01;1.61E-01;1.66E-01;1.21E-01;9.71E-02;9.46E-02;9.08E-02;6.62E-02;8.69E-02;4.62E-02;5.90E-02;6.09E-02;4.71E-02;5.99E-02;2.52E-02;2.02E-02;1.64E-02;6.86E-03;3.71E-03;1.70E-03;1.30E-03;9.01E-04;5.40E-04;4.58E-04
NGA-West2;300;69;7;;6.2;40.8464;15.3316;;-999;;;A;;455.93;11.97;1.73E-01;1.73E-01;1.73E-01;1.87E-01;1.90E-01;2.17E-01;3.24E-01;5.72E-01;5.84E-01;7.43E-01;6.13E-01;4.86E-01;8.35E-01;7.31E-01;4.90E-01;8.16E-01;6.22E-01;4.79E-01;5.28E-01;5.91E-01;5.13E-01;7.09E-01;4.52E-01;4.02E-01;2.72E-01;2.07E-01;1.12E-01;9.53E-02;5.87E-02;4.43E-02;2.87E-02;1.57E-02;8.36E-03;7.65E-03;5.41E-03;3.64E-03
