source;record_sequence_number_NGA;event_id;ev_depth_km;Mw;M;epi_lat;epi_lon;network_code;station_code;sensor_depth_m;proximity_code;GMX_first;ec8_code;vs30_m_sec;epi_dist;rotD50_pga;rotD50_T0_010;rotD50_T0_025;rotD50_T0_040;rotD50_T0_050;rotD50_T0_070;rotD50_T0_100;rotD50_T0_150;rotD50_T0_200;rotD50_T0_250;rotD50_T0_300;rotD50_T0_350;rotD50_T0_400;rotD50_T0_450;rotD50_T0_500;rotD50_T0_600;rotD50_T0_700;rotD50_T0_750;rotD50_T0_800;rotD50_T0_900;rotD50_T1_000;rotD50_T1_200;rotD50_T1_400;rotD50_T1_600;rotD50_T1_800;rotD50_T2_000;rotD50_T2_500;rotD50_T3_000;rotD50_T3_500;rotD50_T4_000;rotD50_T5_000;rotD50_T6_000;rotD50_T7_000;rotD50_T8_000;rotD50_T9_000;rotD50_T10_000
NGA-West2;245;60;4.7;;5.7;37.543;-118.888;;54214;;;H;;537.16;16.9;9.93E-02;9.93E-02;9.93E-02;1.07E-01;1.23E-01;1.64E-01;1.85E-01;2.45E-01;2.17E-01;1.59E-01;2.83E-01;4.69E-01;7.97E-01;6.82E-01;4.84E-01;2.42E-01;2.03E-01;1.63E-01;1.18E-01;7.17E-02;7.80E-02;4.32E-02;3.19E-02;2.52E-02;1.68E-02;1.19E-02;6.68E-03;4.06E-03;5.32E-03;3.20E-03;1.37E-03;8.15E-04;5.95E-04;4.39E-04;3.21E-04;2.56E-04
NGA-West2;246;61;14;;5.94;37.506;-118.826;;54100;;;A;;370.94;46.49;1.37E-01;1.37E-01;1.37E-01;2.03E-01;1.97E-01;2.58E-01;7.04E-01;3.63E-01;7.06E-01;5.48E-01;5.06E-01;2.53E-01;2.15E-01;3.12E-01;3.49E-01;3.34E-01;2.60E-01;3.71E-01;3.95E-01;2.32E-01;1.35E-01;1.23E-01;8.25E-02;7.06E-02;6.97E-02;4.08E-02;1.52E-02;1.11E-02;5.86E-03;4.38E-03;2.75E-03;1.71E-03;1.22E-03;8.65E-04;6.23E-04;4.74E-04
NGA-West2;247;61;14;;5.94;37.506;-118.826;;54424;;;A;;585.12;19.97;1.01E-01;1.03E-01;1.03E-01;2.41E-01;3.29E-01;9.48E-01;5.58E-01;5.17E-01;2.48E-01;2.09E-01;1.76E-01;1.24E-01;9.36E-02;9.82E-02;1.02E-01;9.07E-02;9.40E-02;7.72E-02;7.48E-02;8.94E-02;6.60E-02;5.10E-02;4.37E-02;2.99E-02;3.39E-02;4.48E-02;6.46E-02;3.26E-02;1.58E-02;8.87E-03;4.24E-03;2.40E-03;1.57E-03;1.15E-03;8.84E-04;6.99E-04
NGA-West2;248;61;14;;5.94;37.506;-118.826;;54099;;;A;;382.12;12.03;3.08E-01;3.09E-01;3.09E-01;4.73E-01;6.05E-01;1.06E+00;9.50E-01;1.81E+00;7.22E-01;6.64E-01;5.10E-01;7.26E-01;4.54E-01;7.77E-01;1.10E+00;5.50E-01;3.55E-01;3.20E-01;3.99E-01;2.89E-01;2.58E-01;1.22E-01;8.78E-02;1.15E-01;6.82E-02;4.71E-02;4.66E-02;2.40E-02;1.66E-02;1.10E-02;6.36E-03;4.33E-03;3.05E-03;2.10E-03;1.60E-03;1.28E-03
NGA-West2;249;61;14;;5.94;37.506;-118.826;;43;;;I;;373.18;12.02;3.90E-01;3.90E-01;3.90E-01;5.39E-01;5.27E-01;9.75E-01;1.77E+00;2.40E+00;1.00E+00;6.31E-01;5.22E-01;7.96E-01;5.60E-01;9.36E-01;1.29E+00;6.26E-01;3.81E-01;3.71E-01;4.53E-01;3.07E-01;2.66E-01;1.19E-01;8.62E-02;8.86E-02;5.94E-02;4.66E-02;3.20E-02;1.85E-02;1.11E-02;7.77E-03;4.09E-03;2.66E-03;1.87E-03;1.40E-03;1.09E-03;8.71E-04
NGA-West2;250;61;14;;5.94;37.506;-118.826;;54214;;;H;;537.16;14.04;7.19E-01;7.28E-01;7.28E-01;1.34E+00;1.44E+00;1.16E+00;1.06E+00;1.56E+00;1.79E+00;1.13E+00;1.10E+00;8.71E-01;1.17E+00;2.15E+00;1.20E+00;1.79E+00;1.05E+00;9.91E-01;1.01E+00;6.45E-01;4.93E-01;4.38E-01;3.37E-01;1.90E-01;1.29E-01;9.19E-02;4.58E-02;2.67E-02;1.77E-02;1.37E-02;9.29E-03;6.65E-03;4.92E-03;3.75E-03;2.94E-03;2.36E-03
NGA-West2;251;62;6;;4.73;37.595;-118.791;;43;;;I;;373.18;4.04;1.02E-01;1.02E-01;1.02E-01;1.37E-01;1.34E-01;3.25E-01;2.71E-01;2.53E-01;2.39E-01;2.47E-01;3.55E-01;3.29E-01;2.71E-01;2.61E-01;2.26E-01;1.57E-01;1.08E-01;9.80E-02;1.04E-01;1.24E-01;9.28E-02;4.18E-02;2.54E-02;1.94E-02;1.40E-02;9.32E-03;5.24E-03;3.33E-03;2.45E-03;1.73E-03;1.12E-03;7.81E-04;5.78E-04;4.44E-04;3.52E-04;2.86E-04
NGA-West2;252;62;6;;4.73;37.595;-118.791;;3;;;I;;353.2;3.78;1.64E-01;1.65E-01;1.65E-01;2.01E-01;2.85E-01;2.99E-01;1.93E-01;3.16E-01;3.63E-01;4.56E-01;5.65E-01;5.31E-01;4.51E-01;4.54E-01;3.66E-01;3.08E-01;2.72E-01;1.95E-01;1.62E-01;1.52E-01;1.17E-01;7.70E-02;4.79E-02;2.73E-02;1.88E-02;1.50E-02;9.17E-03;7.93E-03;4.72E-03;3.40E-03;2.19E-03;1.52E-03;1.11E-03;8.49E-04;6.69E-04;5.42E-04
NGA-West2;253;62;6;;4.73;37.595;-118.791;;35;;;A;;377.41;4.57;2.89E-02;2.91E-02;2.91E-02;3.62E-02;4.65E-02;8.64E-02;1.41E-01;1.11E-01;9.82E-02;9.23E-02;1.25E-01;1.05E-01;9.06E-02;5.39E-02;6.15E-02;5.38E-02;5.02E-02;5.38E-02;4.33E-02;4.89E-02;2.92E-02;2.64E-02;1.70E-02;1.38E-02;9.12E-03;6.75E-03;2.86E-03;1.84E-03;1.23E-03;1.08E-03;5.56E-04;3.82E-04;2.79E-04;2.12E-04;1.67E-04;1.35E-04
NGA-West2;254;62;6;;4.73;37.595;-118.791;;36;;;A;;350.54;8.02;6.74E-02;6.75E-02;6.75E-02;7.94E-02;7.71E-02;8.43E-02;1.13E-01;1.38E-01;2.90E-01;3.48E-01;2.62E-01;2.26E-01;2.88E-01;1.99E-01;1.86E-01;1.48E-01;1.19E-01;7.37E-02;6.01E-02;4.76E-02;5.95E-02;3.12E-02;1.60E-02;1.27E-02;8.86E-03;1.23E-02;5.13E-03;3.17E-03;2.11E-03;1.30E-03;7.59E-04;4.94E-04;3.49E-04;2.67E-04;2.01E-04;1.61E-04
