#,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.7.0', start_date='2019-10-31T01:06:38', checksum=2009905994, kind='rlz-004', investigation_time=50.0, imt='SA(0.2)'"
lon,lat,depth,poe-0.0050000,poe-0.0100000,poe-0.0200000,poe-0.0300000,poe-0.0400000,poe-0.0500000,poe-0.1000000,poe-0.1500000,poe-0.2000000,poe-0.2500000,poe-0.3000000,poe-0.4000000,poe-0.5000000,poe-0.7500000,poe-1.0000000,poe-1.5000000,poe-2.0000000,poe-2.5000000,poe-3.0000000
13.18213,46.10000,0.00000,9.992904E-01,9.990315E-01,9.972810E-01,9.925935E-01,9.832951E-01,9.683424E-01,8.240155E-01,6.479889E-01,4.998848E-01,3.870270E-01,3.028941E-01,1.925378E-01,1.280508E-01,5.367480E-02,2.605713E-02,7.975191E-03,2.992917E-03,1.269616E-03,5.879318E-04
13.38213,42.40000,0.00000,9.999980E-01,9.999960E-01,9.999664E-01,9.997537E-01,9.988188E-01,9.960896E-01,9.208037E-01,7.627265E-01,6.015130E-01,4.694955E-01,3.683477E-01,2.342020E-01,1.557831E-01,6.566457E-02,3.223804E-02,1.016671E-02,3.983291E-03,1.764067E-03,8.486600E-04
