#,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.7.0', start_date='2019-10-31T01:06:38', checksum=2009905994, kind='rlz-006', investigation_time=50.0"
lon,lat,PGA-0.1,PGA-0.05,PGA-0.01,SA(0.2)-0.1,SA(0.2)-0.05,SA(0.2)-0.01,SA(0.5)-0.1,SA(0.5)-0.05,SA(0.5)-0.01,SA(1.0)-0.1,SA(1.0)-0.05,SA(1.0)-0.01
13.18213,46.10000,2.731827E-01,3.556042E-01,5.750916E-01,5.911270E-01,7.742904E-01,1.223474E+00,3.511768E-01,4.758258E-01,8.353667E-01,1.569003E-01,2.215322E-01,4.367855E-01
13.38213,42.40000,2.883009E-01,3.683538E-01,5.817896E-01,6.214291E-01,7.983405E-01,1.238776E+00,3.756302E-01,4.992999E-01,8.691484E-01,1.737047E-01,2.414405E-01,4.815586E-01
