#,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.7.0', start_date='2019-10-31T01:06:38', checksum=2009905994, kind='rlz-004', investigation_time=50.0, imt='PGA'"
lon,lat,depth,poe-0.0050000,poe-0.0100000,poe-0.0200000,poe-0.0300000,poe-0.0400000,poe-0.0500000,poe-0.1000000,poe-0.1500000,poe-0.2000000,poe-0.2500000,poe-0.3000000,poe-0.4000000,poe-0.5000000,poe-0.7500000,poe-1.0000000,poe-1.5000000,poe-2.0000000,poe-2.5000000,poe-3.0000000
13.18213,46.10000,0.00000,9.989410E-01,9.965039E-01,9.764937E-01,9.288353E-01,8.604283E-01,7.832541E-01,4.547993E-01,2.710173E-01,1.703968E-01,1.121479E-01,7.656838E-02,3.877210E-02,2.130057E-02,5.983193E-03,2.041825E-03,3.255359E-04,6.139325E-05,8.772860E-06,7.277129E-07
13.38213,42.40000,0.00000,9.999951E-01,9.999408E-01,9.975231E-01,9.814157E-01,9.414706E-01,8.810593E-01,5.386120E-01,3.232274E-01,2.037637E-01,1.345361E-01,9.231357E-02,4.739844E-02,2.644845E-02,7.759411E-03,2.792278E-03,4.847253E-04,1.035008E-04,2.088525E-05,2.125196E-06
