#,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.7.0', start_date='2019-10-31T01:06:38', checksum=2009905994, kind='rlz-010', investigation_time=50.0"
lon,lat,PGA-0.1,PGA-0.05,PGA-0.01,SA(0.2)-0.1,SA(0.2)-0.05,SA(0.2)-0.01,SA(0.5)-0.1,SA(0.5)-0.05,SA(0.5)-0.01,SA(1.0)-0.1,SA(1.0)-0.05,SA(1.0)-0.01
13.18213,46.10000,3.401143E-01,4.275435E-01,6.533000E-01,7.588829E-01,9.410513E-01,1.418877E+00,4.759855E-01,6.161475E-01,1.038982E+00,2.320481E-01,3.188425E-01,5.971758E-01
13.38213,42.40000,3.852023E-01,4.891205E-01,7.664667E-01,8.315313E-01,1.047495E+00,1.619040E+00,5.325540E-01,7.078009E-01,1.237277E+00,2.638524E-01,3.715092E-01,7.490531E-01
