#,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.7.0', start_date='2019-10-31T01:06:38', checksum=2009905994, kind='rlz-010', investigation_time=50.0, imt='SA(1.0)'"
lon,lat,depth,poe-0.0050000,poe-0.0100000,poe-0.0200000,poe-0.0300000,poe-0.0400000,poe-0.0500000,poe-0.1000000,poe-0.1500000,poe-0.2000000,poe-0.2500000,poe-0.3000000,poe-0.4000000,poe-0.5000000,poe-0.7500000,poe-1.0000000,poe-1.5000000,poe-2.0000000,poe-2.5000000,poe-3.0000000
13.18213,46.10000,0.00000,9.999988E-01,9.999287E-01,9.950003E-01,9.654119E-01,9.019784E-01,8.165835E-01,4.249198E-01,2.290243E-01,1.352149E-01,8.596252E-02,5.772661E-02,2.928542E-02,1.654021E-02,5.243442E-03,2.092493E-03,4.765519E-04,1.404474E-04,4.779953E-05,1.788503E-05
13.38213,42.40000,0.00000,9.999998E-01,9.999799E-01,9.976603E-01,9.790277E-01,9.312011E-01,8.591501E-01,4.791751E-01,2.710236E-01,1.673172E-01,1.110899E-01,7.785022E-02,4.290525E-02,2.622210E-02,9.969916E-03,4.697847E-03,1.446104E-03,5.678820E-04,2.569576E-04,1.277120E-04
