#,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.7.0', start_date='2019-10-31T01:06:38', checksum=2009905994, kind='rlz-004', investigation_time=50.0"
lon,lat,PGA-0.1,PGA-0.05,PGA-0.01,SA(0.2)-0.1,SA(0.2)-0.05,SA(0.2)-0.01,SA(0.5)-0.1,SA(0.5)-0.05,SA(0.5)-0.01,SA(1.0)-0.1,SA(1.0)-0.05,SA(1.0)-0.01
13.18213,46.10000,2.640750E-01,3.592243E-01,6.365488E-01,5.611066E-01,7.714764E-01,1.388164E+00,3.621037E-01,5.191780E-01,1.055591E+00,1.554567E-01,2.276898E-01,4.893636E-01
13.38213,42.40000,2.886073E-01,3.908815E-01,6.896582E-01,6.156409E-01,8.373833E-01,1.507633E+00,4.237537E-01,5.955006E-01,1.196121E+00,1.963399E-01,2.856998E-01,6.338339E-01
