#,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.7.0', start_date='2019-10-31T01:06:38', checksum=2009905994, kind='rlz-001', investigation_time=50.0, imt='SA(0.2)'"
lon,lat,depth,poe-0.0050000,poe-0.0100000,poe-0.0200000,poe-0.0300000,poe-0.0400000,poe-0.0500000,poe-0.1000000,poe-0.1500000,poe-0.2000000,poe-0.2500000,poe-0.3000000,poe-0.4000000,poe-0.5000000,poe-0.7500000,poe-1.0000000,poe-1.5000000,poe-2.0000000,poe-2.5000000,poe-3.0000000
13.18213,46.10000,0.00000,9.999985E-01,9.999952E-01,9.999444E-01,9.996196E-01,9.984098E-01,9.953372E-01,9.266458E-01,7.862986E-01,6.375583E-01,5.107335E-01,4.104164E-01,2.730526E-01,1.900805E-01,9.033116E-02,5.033847E-02,2.059435E-02,1.044452E-02,6.013488E-03,3.758746E-03
13.38213,42.40000,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999999E-01,9.999989E-01,9.991279E-01,9.871507E-01,9.488598E-01,8.849459E-01,8.067438E-01,6.468436E-01,5.113345E-01,2.940645E-01,1.833961E-01,8.674753E-02,4.882269E-02,3.059265E-02,2.059139E-02
