#,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.7.0', start_date='2019-10-31T01:06:38', checksum=2009905994, kind='rlz-003', investigation_time=50.0"
lon,lat,PGA-0.1,PGA-0.05,PGA-0.01,SA(0.2)-0.1,SA(0.2)-0.05,SA(0.2)-0.01,SA(0.5)-0.1,SA(0.5)-0.05,SA(0.5)-0.01,SA(1.0)-0.1,SA(1.0)-0.05,SA(1.0)-0.01
13.18213,46.10000,2.337145E-01,3.166411E-01,5.942128E-01,6.017973E-01,8.213733E-01,1.548313E+00,4.568104E-01,6.413681E-01,1.319947E+00,1.757238E-01,2.588764E-01,5.758999E-01
13.38213,42.40000,4.096504E-01,5.483599E-01,1.001204E+00,1.048476E+00,1.406541E+00,2.561818E+00,8.619903E-01,1.212729E+00,2.456654E+00,3.640040E-01,5.350317E-01,1.161796E+00
