#,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.7.0', start_date='2019-10-31T01:06:38', checksum=2009905994, kind='rlz-007', investigation_time=50.0, imt='SA(0.5)'"
lon,lat,depth,poe-0.0050000,poe-0.0100000,poe-0.0200000,poe-0.0300000,poe-0.0400000,poe-0.0500000,poe-0.1000000,poe-0.1500000,poe-0.2000000,poe-0.2500000,poe-0.3000000,poe-0.4000000,poe-0.5000000,poe-0.7500000,poe-1.0000000,poe-1.5000000,poe-2.0000000,poe-2.5000000,poe-3.0000000
13.18213,46.10000,0.00000,9.992349E-01,9.986645E-01,9.944816E-01,9.824086E-01,9.588559E-01,9.233950E-01,6.639149E-01,4.423999E-01,2.999757E-01,2.109344E-01,1.537335E-01,8.933227E-02,5.684151E-02,2.366588E-02,1.221924E-02,4.524861E-03,2.098594E-03,1.099430E-03,6.226732E-04
13.38213,42.40000,0.00000,9.999975E-01,9.999919E-01,9.998692E-01,9.988413E-01,9.945284E-01,9.834523E-01,7.990294E-01,5.586405E-01,3.838260E-01,2.707397E-01,1.975731E-01,1.153321E-01,7.404453E-02,3.189108E-02,1.716619E-02,6.945065E-03,3.534236E-03,2.032573E-03,1.259642E-03
