#,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.7.0', start_date='2019-10-31T01:06:38', checksum=2009905994, kind='rlz-011', investigation_time=50.0, imt='PGA'"
lon,lat,depth,poe-0.0050000,poe-0.0100000,poe-0.0200000,poe-0.0300000,poe-0.0400000,poe-0.0500000,poe-0.1000000,poe-0.1500000,poe-0.2000000,poe-0.2500000,poe-0.3000000,poe-0.4000000,poe-0.5000000,poe-0.7500000,poe-1.0000000,poe-1.5000000,poe-2.0000000,poe-2.5000000,poe-3.0000000
13.18213,46.10000,0.00000,9.999999E-01,9.999993E-01,9.999399E-01,9.988052E-01,9.920081E-01,9.722185E-01,6.793349E-01,3.963571E-01,2.357138E-01,1.482003E-01,9.829628E-02,4.908868E-02,2.764390E-02,8.982706E-03,3.754182E-03,9.555987E-04,3.178604E-04,1.228127E-04,5.222108E-05
13.38213,42.40000,0.00000,1.000000E+00,9.999998E-01,9.999623E-01,9.989946E-01,9.925356E-01,9.731551E-01,6.888520E-01,4.146463E-01,2.554676E-01,1.661004E-01,1.135738E-01,5.975868E-02,3.523490E-02,1.258881E-02,5.671311E-03,1.614623E-03,5.837215E-04,2.407200E-04,1.080192E-04
