#,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.7.0', start_date='2019-10-31T01:06:38', checksum=2009905994, kind='rlz-007', investigation_time=50.0"
lon,lat,PGA-0.1,PGA-0.05,PGA-0.01,SA(0.2)-0.1,SA(0.2)-0.05,SA(0.2)-0.01,SA(0.5)-0.1,SA(0.5)-0.05,SA(0.5)-0.01,SA(1.0)-0.1,SA(1.0)-0.05,SA(1.0)-0.01
13.18213,46.10000,2.114536E-01,2.892746E-01,5.465020E-01,5.391472E-01,7.445111E-01,1.410792E+00,3.767883E-01,5.305697E-01,1.085243E+00,1.264660E-01,1.868887E-01,4.207398E-01
13.38213,42.40000,2.245856E-01,3.044142E-01,5.799724E-01,5.809031E-01,7.922255E-01,1.499183E+00,4.297882E-01,6.040212E-01,1.273945E+00,1.593632E-01,2.366441E-01,5.567321E-01
