#,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.7.0', start_date='2019-10-31T01:06:38', checksum=2009905994, kind='rlz-006', investigation_time=50.0, imt='SA(1.0)'"
lon,lat,depth,poe-0.0050000,poe-0.0100000,poe-0.0200000,poe-0.0300000,poe-0.0400000,poe-0.0500000,poe-0.1000000,poe-0.1500000,poe-0.2000000,poe-0.2500000,poe-0.3000000,poe-0.4000000,poe-0.5000000,poe-0.7500000,poe-1.0000000,poe-1.5000000,poe-2.0000000,poe-2.5000000,poe-3.0000000
13.18213,46.10000,0.00000,9.975858E-01,9.861554E-01,9.094982E-01,7.836330E-01,6.525433E-01,5.375137E-01,2.201637E-01,1.092159E-01,6.214295E-02,3.866635E-02,2.559909E-02,1.267112E-02,6.950861E-03,1.994781E-03,6.967305E-04,1.120014E-04,1.821937E-05,1.877535E-06,4.230050E-08
13.38213,42.40000,0.00000,9.999731E-01,9.992697E-01,9.788352E-01,9.055783E-01,7.930409E-01,6.724818E-01,2.791051E-01,1.346770E-01,7.512473E-02,4.637228E-02,3.077907E-02,1.570886E-02,9.125927E-03,3.164938E-03,1.362042E-03,3.378047E-04,1.008917E-04,3.171344E-05,9.312230E-06
