#,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.7.0', start_date='2019-10-31T01:06:38', checksum=2009905994, kind='rlz-009', investigation_time=50.0, imt='SA(0.5)'"
lon,lat,depth,poe-0.0050000,poe-0.0100000,poe-0.0200000,poe-0.0300000,poe-0.0400000,poe-0.0500000,poe-0.1000000,poe-0.1500000,poe-0.2000000,poe-0.2500000,poe-0.3000000,poe-0.4000000,poe-0.5000000,poe-0.7500000,poe-1.0000000,poe-1.5000000,poe-2.0000000,poe-2.5000000,poe-3.0000000
13.18213,46.10000,0.00000,9.999998E-01,9.999973E-01,9.998304E-01,9.980109E-01,9.907025E-01,9.740165E-01,7.691037E-01,5.448000E-01,3.873196E-01,2.836685E-01,2.144977E-01,1.329662E-01,8.948638E-02,4.169089E-02,2.353555E-02,1.010283E-02,5.383889E-03,3.241757E-03,2.109017E-03
13.38213,42.40000,0.00000,9.999999E-01,9.999991E-01,9.998989E-01,9.985163E-01,9.923421E-01,9.775032E-01,7.850928E-01,5.680116E-01,4.123653E-01,3.079518E-01,2.369793E-01,1.513239E-01,1.043349E-01,5.090744E-02,2.969347E-02,1.330669E-02,7.281224E-03,4.462373E-03,2.941378E-03
