#,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.7.0', start_date='2019-10-31T01:06:38', checksum=2009905994, kind='mean', investigation_time=50.0, imt='SA(0.5)'"
lon,lat,depth,poe-0.0050000,poe-0.0100000,poe-0.0200000,poe-0.0300000,poe-0.0400000,poe-0.0500000,poe-0.1000000,poe-0.1500000,poe-0.2000000,poe-0.2500000,poe-0.3000000,poe-0.4000000,poe-0.5000000,poe-0.7500000,poe-1.0000000,poe-1.5000000,poe-2.0000000,poe-2.5000000,poe-3.0000000
13.18213,46.10000,0.00000,9.997872E-01,9.993896E-01,9.963129E-01,9.873533E-01,9.696712E-01,9.423184E-01,7.189718E-01,5.023937E-01,3.517858E-01,2.528530E-01,1.872066E-01,1.109466E-01,7.136503E-02,2.997792E-02,1.547724E-02,5.728475E-03,2.700388E-03,1.462154E-03,8.667181E-04
13.38213,42.40000,0.00000,9.999990E-01,9.999910E-01,9.997510E-01,9.982455E-01,9.939194E-01,9.856592E-01,8.857238E-01,7.348357E-01,5.881111E-01,4.669829E-01,3.729416E-01,2.462256E-01,1.707567E-01,8.118316E-02,4.550160E-02,1.883383E-02,9.596118E-03,5.517079E-03,3.437197E-03
