#,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.7.0', start_date='2019-10-31T01:06:38', checksum=2009905994, kind='rlz-003', investigation_time=50.0, imt='SA(1.0)'"
lon,lat,depth,poe-0.0050000,poe-0.0100000,poe-0.0200000,poe-0.0300000,poe-0.0400000,poe-0.0500000,poe-0.1000000,poe-0.1500000,poe-0.2000000,poe-0.2500000,poe-0.3000000,poe-0.4000000,poe-0.5000000,poe-0.7500000,poe-1.0000000,poe-1.5000000,poe-2.0000000,poe-2.5000000,poe-3.0000000
13.18213,46.10000,0.00000,9.999478E-01,9.978977E-01,9.515930E-01,8.363884E-01,7.018557E-01,5.807372E-01,2.479785E-01,1.312792E-01,8.005095E-02,5.340002E-02,3.786493E-02,2.151127E-02,1.360009E-02,5.628710E-03,2.879433E-03,1.038555E-03,4.704048E-04,2.430456E-04,1.361077E-04
13.38213,42.40000,0.00000,1.000000E+00,9.999998E-01,9.996618E-01,9.928475E-01,9.666535E-01,9.184868E-01,5.962670E-01,3.808209E-01,2.585848E-01,1.854404E-01,1.387676E-01,8.523451E-02,5.701416E-02,2.597857E-02,1.416533E-02,5.525289E-03,2.621414E-03,1.388875E-03,7.931061E-04
