#,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.7.0', start_date='2019-10-31T01:06:38', checksum=2009905994, kind='rlz-007', investigation_time=50.0, imt='SA(1.0)'"
lon,lat,depth,poe-0.0050000,poe-0.0100000,poe-0.0200000,poe-0.0300000,poe-0.0400000,poe-0.0500000,poe-0.1000000,poe-0.1500000,poe-0.2000000,poe-0.2500000,poe-0.3000000,poe-0.4000000,poe-0.5000000,poe-0.7500000,poe-1.0000000,poe-1.5000000,poe-2.0000000,poe-2.5000000,poe-3.0000000
13.18213,46.10000,0.00000,9.953190E-01,9.680995E-01,8.237818E-01,6.491181E-01,5.042869E-01,3.955607E-01,1.490646E-01,7.481460E-02,4.415703E-02,2.881072E-02,2.009868E-02,1.114640E-02,6.903487E-03,2.696565E-03,1.283199E-03,3.877007E-04,1.430422E-04,5.807119E-05,2.400858E-05
13.38213,42.40000,0.00000,9.999190E-01,9.970992E-01,9.395005E-01,8.061640E-01,6.593503E-01,5.332906E-01,2.137833E-01,1.110233E-01,6.755340E-02,4.532362E-02,3.247485E-02,1.896199E-02,1.237021E-02,5.544657E-03,3.034738E-03,1.195575E-03,5.667912E-04,2.983062E-04,1.675175E-04
