#,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.7.0', start_date='2019-10-31T01:06:38', checksum=2009905994, kind='rlz-000', investigation_time=50.0"
lon,lat,PGA-0.1,PGA-0.05,PGA-0.01,SA(0.2)-0.1,SA(0.2)-0.05,SA(0.2)-0.01,SA(0.5)-0.1,SA(0.5)-0.05,SA(0.5)-0.01,SA(1.0)-0.1,SA(1.0)-0.05,SA(1.0)-0.01
13.18213,46.10000,2.452808E-01,3.263547E-01,5.771275E-01,5.551504E-01,7.468249E-01,1.328542E+00,4.111372E-01,5.750924E-01,1.151401E+00,2.057508E-01,2.955177E-01,6.244215E-01
13.38213,42.40000,5.043618E-01,6.466936E-01,1.062994E+00,1.116254E+00,1.464097E+00,2.449034E+00,8.786413E-01,1.220429E+00,2.338588E+00,4.794835E-01,6.979393E-01,1.447299E+00
