#,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.7.0', start_date='2019-10-31T01:06:38', checksum=2009905994, kind='rlz-005', investigation_time=50.0, imt='SA(0.5)'"
lon,lat,depth,poe-0.0050000,poe-0.0100000,poe-0.0200000,poe-0.0300000,poe-0.0400000,poe-0.0500000,poe-0.1000000,poe-0.1500000,poe-0.2000000,poe-0.2500000,poe-0.3000000,poe-0.4000000,poe-0.5000000,poe-0.7500000,poe-1.0000000,poe-1.5000000,poe-2.0000000,poe-2.5000000,poe-3.0000000
13.18213,46.10000,0.00000,9.986541E-01,9.954198E-01,9.735880E-01,9.265831E-01,8.609597E-01,7.869626E-01,4.666342E-01,2.862943E-01,1.880889E-01,1.309348E-01,9.540879E-02,5.598925E-02,3.612254E-02,1.564664E-02,8.407102E-03,3.378722E-03,1.716597E-03,9.919826E-04,6.221310E-04
13.38213,42.40000,0.00000,9.999924E-01,9.999118E-01,9.975100E-01,9.842592E-01,9.525792E-01,9.034051E-01,5.916340E-01,3.760596E-01,2.525276E-01,1.790846E-01,1.327990E-01,8.044786E-02,5.333745E-02,2.412438E-02,1.316745E-02,5.214397E-03,2.537875E-03,1.390278E-03,8.237417E-04
