#,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.7.0', start_date='2019-10-31T01:06:38', checksum=2009905994, kind='rlz-008', investigation_time=50.0, imt='PGA'"
lon,lat,depth,poe-0.0050000,poe-0.0100000,poe-0.0200000,poe-0.0300000,poe-0.0400000,poe-0.0500000,poe-0.1000000,poe-0.1500000,poe-0.2000000,poe-0.2500000,poe-0.3000000,poe-0.4000000,poe-0.5000000,poe-0.7500000,poe-1.0000000,poe-1.5000000,poe-2.0000000,poe-2.5000000,poe-3.0000000
13.18213,46.10000,0.00000,9.999999E-01,9.999991E-01,9.999311E-01,9.988839E-01,9.934537E-01,9.787228E-01,7.514461E-01,4.885112E-01,3.120616E-01,2.041969E-01,1.379914E-01,6.875311E-02,3.759707E-02,1.079923E-02,3.912760E-03,7.486345E-04,1.845675E-04,4.986115E-05,1.341074E-05
13.38213,42.40000,0.00000,1.000000E+00,9.999997E-01,9.999483E-01,9.989104E-01,9.933278E-01,9.788632E-01,7.863674E-01,5.649276E-01,3.989181E-01,2.841581E-01,2.057139E-01,1.136025E-01,6.676812E-02,2.155705E-02,8.394668E-03,1.789811E-03,4.816032E-04,1.432591E-04,4.262929E-05
