#,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.7.0', start_date='2019-10-31T01:06:38', checksum=2009905994, kind='rlz-002', investigation_time=50.0"
lon,lat,PGA-0.1,PGA-0.05,PGA-0.01,SA(0.2)-0.1,SA(0.2)-0.05,SA(0.2)-0.01,SA(0.5)-0.1,SA(0.5)-0.05,SA(0.5)-0.01,SA(1.0)-0.1,SA(1.0)-0.05,SA(1.0)-0.01
13.18213,46.10000,2.528879E-01,3.237858E-01,5.235808E-01,5.665222E-01,7.288714E-01,1.146025E+00,3.556460E-01,4.731494E-01,8.273996E-01,1.765489E-01,2.448534E-01,4.763170E-01
13.38213,42.40000,4.333858E-01,5.347666E-01,8.082796E-01,9.516674E-01,1.157985E+00,1.719456E+00,6.468619E-01,8.389437E-01,1.376882E+00,3.525951E-01,4.822661E-01,8.876771E-01
