#,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.7.0', start_date='2019-10-31T01:06:38', checksum=2009905994, kind='rlz-011', investigation_time=50.0, imt='SA(1.0)'"
lon,lat,depth,poe-0.0050000,poe-0.0100000,poe-0.0200000,poe-0.0300000,poe-0.0400000,poe-0.0500000,poe-0.1000000,poe-0.1500000,poe-0.2000000,poe-0.2500000,poe-0.3000000,poe-0.4000000,poe-0.5000000,poe-0.7500000,poe-1.0000000,poe-1.5000000,poe-2.0000000,poe-2.5000000,poe-3.0000000
13.18213,46.10000,0.00000,9.999965E-01,9.996789E-01,9.822509E-01,9.121624E-01,8.051897E-01,6.927477E-01,3.246967E-01,1.778030E-01,1.103635E-01,7.449737E-02,5.331107E-02,3.071207E-02,1.962934E-02,8.288889E-03,4.299442E-03,1.577958E-03,7.240276E-04,3.776089E-04,2.140422E-04
13.38213,42.40000,0.00000,9.999992E-01,9.998772E-01,9.896172E-01,9.383129E-01,8.491571E-01,7.475664E-01,3.787000E-01,2.176331E-01,1.403201E-01,9.789231E-02,7.216045E-02,4.381368E-02,2.931032E-02,1.357694E-02,7.561367E-03,3.071642E-03,1.510151E-03,8.275458E-04,4.866986E-04
