#,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.7.0', start_date='2019-10-31T01:06:38', checksum=2009905994, kind='rlz-011', investigation_time=50.0, imt='SA(0.5)'"
lon,lat,depth,poe-0.0050000,poe-0.0100000,poe-0.0200000,poe-0.0300000,poe-0.0400000,poe-0.0500000,poe-0.1000000,poe-0.1500000,poe-0.2000000,poe-0.2500000,poe-0.3000000,poe-0.4000000,poe-0.5000000,poe-0.7500000,poe-1.0000000,poe-1.5000000,poe-2.0000000,poe-2.5000000,poe-3.0000000
13.18213,46.10000,0.00000,9.999999E-01,9.999998E-01,9.999965E-01,9.999479E-01,9.995968E-01,9.981561E-01,9.285117E-01,7.519405E-01,5.698352E-01,4.274770E-01,3.244888E-01,1.978311E-01,1.295860E-01,5.637886E-02,2.998162E-02,1.163189E-02,5.674877E-03,3.150127E-03,1.901170E-03
13.38213,42.40000,0.00000,1.000000E+00,9.999999E-01,9.999987E-01,9.999729E-01,9.997476E-01,9.987043E-01,9.384503E-01,7.747873E-01,5.995997E-01,4.590719E-01,3.553104E-01,2.243661E-01,1.515432E-01,7.025465E-02,3.942662E-02,1.669486E-02,8.723939E-03,5.122121E-03,3.238419E-03
