reference hazard value =  2.5743
mean_mag_disag =  6.648770935620649
mean_dist_disag =  13.260912969695788
num source event_id station_code recID_NGA component magnitude distance vs30 EC8 scale_factor
1 NGA-West2 50 6610 191 - 6.53 43.9 242.05 nan 2.50
2 NGA-West2 50 1136 170 - 6.53 29.07 192.05 nan 2.41
3 NGA-West2 50 5158 181 - 6.53 27.47 203.22 nan 1.78
4 NGA-West2 30 24303 68 - 6.61 39.49 316.46 nan 2.41
5 NGA-West2 50 955 179 - 6.53 27.13 208.91 nan 2.84
6 NGA-West2 50 6621 165 - 6.53 18.88 242.05 nan 2.66
7 NGA-West2 50 952 180 - 6.53 27.8 205.63 nan 2.16
8 NGA-West2 50 958 183 - 6.53 28.09 206.08 nan 1.64
9 NGA-West2 50 5165 184 - 6.53 27.23 202.26 nan 1.70
10 NGA-West2 50 1336 171 - 6.53 19.44 264.57 nan 4.72
