Period(s),target_spectrum,sigma(ln),mean_spectrum,RS_1,RS_2,RS_3,RS_4,RS_5,RS_6,RS_7
0.01,0.630895,0.0,0.6308949999999999,0.630895,0.630895,0.630895,0.630895,0.630895,0.630895,0.630895
0.025,0.790685,0.0,0.6814503350819037,0.6642227995562131,0.6918940999745653,0.6593913416836382,0.6421629307819804,0.7809191702339342,0.6441472741658925,0.6874147291771033
0.04,0.87058,0.0,0.7702716698006901,0.7347916111932938,0.7308472658357918,0.9502319932576703,0.6315635331145588,0.6903459720011711,0.6775451119564646,0.9765762012458804
0.05,0.950475,0.0,0.851832711471468,0.730067921597633,0.9983929861603452,1.0401343737457565,0.7296196533729444,0.7005569265950022,0.651434009842125,1.1126231089864695
0.07,1.110265,0.0,1.2447156501171652,0.7472107396449704,1.0158146745720635,2.901490361050044,0.7636974543586641,1.1992177009579936,0.8787992367024422,1.2067793835339786
0.1,1.34995,0.0,1.749736645755258,1.9390336458333333,1.5224302724835244,2.609977639789143,0.7901239987749781,1.6539715456524668,1.2135301902330144,2.519089227520347
0.15,1.34995,0.0,1.426306301778686,1.5989730214497042,1.2691368676520667,1.056824593436672,1.172867301207155,1.8197962576785864,1.7361384961491049,1.3304075748775124
0.2,1.34995,0.0,1.2994323733598088,1.0806483746301776,1.6956678230344322,0.6885585791332939,1.0874257712601665,2.2505643389200096,1.5869808803392151,0.7061808462013671
0.25,1.34995,0.0,1.3790340286418374,1.3987360650887575,1.2924452197757164,0.722489587393974,0.9266660415062923,1.9778879049409372,2.650685474064568,0.6843279077226174
0.3,1.304951667,0.0,1.226272749369226,1.6774869643737673,1.1788622513691354,0.6473445659165784,1.9124256136894546,0.9963826556531187,1.6107488625865796,0.5606583319959475
0.35,1.11853,0.0,0.9969826468491868,1.4971885626232742,0.8516928696116566,0.5150413382319967,1.483350268302627,1.1515998456616248,0.9582681900382085,0.5217374534749195
0.4,0.97871375,0.0,0.9830126050112966,0.9929858647682447,0.6573737912736997,0.4285057627429292,1.7451430393137972,1.3472747917189904,1.2269141451816217,0.48289084007979394
0.45,0.869967778,0.0,0.8890047876957683,0.8960929215976333,0.490815914059021,0.41109592957070346,1.374963362785181,1.2822180371610978,1.3264959414627266,0.44135140723401484
0.5,0.782971,0.0,0.7567893529393618,1.0345944477317555,0.42982465088544897,0.3361352136668247,0.7142140122559218,1.3750108749148366,1.0572729850714173,0.3504732860493275
0.6,0.652475833,0.0,0.7061510052185724,0.9009516907051285,0.5629888528372645,0.20047163754790204,0.8262415752366887,1.618368895414425,0.590825734917881,0.2432086498707169
0.7,0.559265,0.0,0.6220211190570843,0.5627698995315582,0.6048395026030686,0.14953755968966861,1.223912052933495,1.2065450063378262,0.37537801792593706,0.2311657943780369
0.75,0.521980667,0.0,0.5122987722732341,0.5305227360700197,0.5831081067608804,0.18053611366598726,0.999092460854417,0.8357540273882885,0.2432255785893144,0.21385238258373068
0.8,0.4893568750000001,0.0,0.46567279595567335,0.46808325505424053,0.5715816119125142,0.20530408272867592,0.8980258430460756,0.7290239894792785,0.19386164541089806,0.1938291440580302
0.9,0.434983889,0.0,0.4405635356341389,0.3130991631533531,0.5545768199889978,0.17631528124828463,0.9173809259797798,0.7754976645926795,0.20984569726911234,0.13722919720676535
1.0,0.3914855,0.0,0.37158840304053603,0.23542435053007896,0.483853422836614,0.14709228255823367,0.5594999203921021,0.8723874903007329,0.20308927601781337,0.09977207864817687
1.2,0.32623791700000004,0.0,0.2583614705525788,0.1173124627095661,0.39630889212412257,0.0929440094115371,0.4122511549462758,0.5464103810882329,0.18256104005791046,0.060742353530406766
1.4,0.2796325,0.0,0.20324745181531378,0.08447504271449703,0.3153033455109848,0.07044699023399527,0.3580412736607915,0.32333450821072807,0.2314708740522977,0.03966012832390198
1.6,0.244678438,0.0,0.1504584423696322,0.0643502421104537,0.23819386184596902,0.04807851538957497,0.2050218382947199,0.27075667121530844,0.19971026732681404,0.027097700404585423
1.8,0.21749194400000005,0.0,0.132885716692613,0.050549209319526625,0.18246285142059687,0.03462538244370617,0.19410802021001192,0.24497169099022728,0.20013044873347705,0.023352413730745116
2.0,0.19574275,0.0,0.1278552547829509,0.04053580604043392,0.1441612062732221,0.030556572776133623,0.19320115354115933,0.25467778811541436,0.21073234787272596,0.021121908861567076
2.5,0.15659419999999996,0.0,0.09305024767191099,0.025121146147682454,0.09508721176624177,0.030843009463637293,0.16002008630085168,0.16480764352070912,0.1584582693963104,0.017014367107944114
3.0,0.13049516700000002,0.0,0.07423362069698061,0.01707486895956607,0.06892167928597928,0.03658583026391565,0.15125151003729234,0.11819026743023536,0.11333924581341266,0.01427194308846291
3.5,0.11185300000000002,0.0,0.057552608155722454,0.012504392276873765,0.0464317930619624,0.04092698956878673,0.1034281885512238,0.08145665592335216,0.10688409423165833,0.011236143476199993
4.0,0.09307567799999998,0.0,0.04607522163505902,0.009710620506656803,0.03396046256516122,0.03660578691837287,0.0813509466996634,0.05699339202592576,0.09507232802213192,0.008833014707501117
