reference hazard value =  1.3569
mean_mag_disag =  6.313808493750058
mean_dist_disag =  18.010191283740124
num source event_id station_code recID component magnitude distance vs30 EC8 scale_factor flowNS2 fhighNS2 flonwEW2 fhighEW2
1 NGA-West2 76 36456 338 1 6.36 38.54 246.07 nan 3.46 nan nan nan nan
2 NGA-West2 113 24303 635 1 5.99 24.21 316.46 nan 2.38 nan nan nan nan
3 NGA-West2 175 -999 3270 2 6.3 59.92 204.71 nan 3.76 nan nan nan nan
4 NGA-West2 30 289 93 1 6.61 57.12 298.68 nan 4.09 nan nan nan nan
5 NGA-West2 127 77 1063 1 6.69 10.91 282.25 nan 0.85 nan nan nan nan
6 NGA-West2 179 36448 4131 2 6.0 17.64 284.21 nan 2.66 nan nan nan nan
7 NGA-West2 116 9401 722 1 6.54 19.28 266.01 nan 4.43 nan nan nan nan
8 NGA-West2 50 6610 191 1 6.53 43.9 242.05 nan 3.67 nan nan nan nan
9 NGA-West2 71 68 3578 1 5.9 32.28 303.36 nan 4.68 nan nan nan nan
10 NGA-West2 126 23522 930 1 6.46 43.82 325.83 nan 3.54 nan nan nan nan
