ordinal,branch_path,weight
0,b1~b1_@_@_@_b51_@_b61,5.0000000e-01
1,b2~b1_@_@_@_b51_@_b61,2.0000000e-01
2,b3~b1_@_@_@_@_@_b61,3.0000001e-01
