
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2019-10-30


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 7	9	14	15	29	40	41	47	51	56	59	67	69	70	76	77	78	80	85	86	87	88	90	107	108	109	110	111	112	113	114	115	116	117	118	119	120	123	138	160	162	163	166	168	172	173	174	177	178	182	185	186	189	190	192	251	252	253	254	255	256	257	258	259	260	261	262	263	264	267	270	271	272	273	274	275	276	277	278	281	282	283	284	285	286	287	288	290	291	292	293	294
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, SRSS
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
12, SRSS, 69, -, 1.0, -, 41.5, 52.4, 0.1, "San Fernando", 1971, "LB - Terminal Island", 6.61, Reverse, 58.99, 58.99, 217.92, 0.125, 1.0, RSN69_SFERN_TLI249.AT2, RSN69_SFERN_TLI339.AT2 , RSN69_SFERN_TLI-UP.AT2  
13, SRSS, 70, -, 1.0, -, 8.0, 18.4, 0.3, "San Fernando", 1971, "Lake Hughes #1", 6.61, Reverse, 22.23, 27.4, 425.34, 0.15, 1.0, RSN70_SFERN_L01021.AT2, RSN70_SFERN_L01111.AT2 , RSN70_SFERN_L01DWN.AT2  
14, SRSS, 76, -, 1.0, -, 16.6, 23.4, 0.0, "San Fernando", 1971, "Maricopa Array #3", 6.61, Reverse, 109.01, 110.18, 441.25, 0.25, 1.0, RSN76_SFERN_MA3130.AT2, RSN76_SFERN_MA3220.AT2 , RSN76_SFERN_MA3DWN.AT2  
15, SRSS, 77, -, 1.0, 1.638, 5.8, 7.3, 8.9, "San Fernando", 1971, "Pacoima Dam (upper left abut)", 6.61, Reverse, 0.0, 1.81, 2016.13, 0.0875, 1.0, RSN77_SFERN_PUL164.AT2, RSN77_SFERN_PUL254.AT2 , RSN77_SFERN_PULDWN.AT2  
16, SRSS, 78, -, 1.0, -, 10.0, 18.9, 0.3, "San Fernando", 1971, "Palmdale Fire Station", 6.61, Reverse, 24.16, 28.99, 452.86, 0.1875, 1.0, RSN78_SFERN_PDL120.AT2, RSN78_SFERN_PDL210.AT2 ,  -----   
17, SRSS, 80, -, 1.0, -, 5.7, 14.1, 0.3, "San Fernando", 1971, "Pasadena - Old Seismo Lab", 6.61, Reverse, 21.5, 21.5, 969.07, 0.625, 1.0, RSN80_SFERN_PSL180.AT2, RSN80_SFERN_PSL270.AT2 , RSN80_SFERN_PSLDWN.AT2  
18, SRSS, 85, -, 1.0, -, 17.5, 48.2, 0.0, "San Fernando", 1971, "San Juan Capistrano", 6.61, Reverse, 108.01, 108.01, 459.37, 0.25, 1.0, RSN85_SFERN_SJC033.AT2, RSN85_SFERN_SJC303.AT2 , RSN85_SFERN_SJCDWN.AT2  
19, SRSS, 86, -, 1.0, -, 15.8, 35.5, 0.0, "San Fernando", 1971, "San Onofre - So Cal Edison", 6.61, Reverse, 124.79, 124.79, 442.88, 0.25, 1.0, RSN86_SFERN_SON033.AT2, RSN86_SFERN_SON303.AT2 , RSN86_SFERN_SONDWN.AT2  
20, SRSS, 87, -, 1.0, -, 6.4, 11.3, 0.3, "San Fernando", 1971, "Santa Anita Dam", 6.61, Reverse, 30.7, 30.7, 667.13, 0.375, 1.0, RSN87_SFERN_SAD003.AT2, RSN87_SFERN_SAD273.AT2 , RSN87_SFERN_SADDWN.AT2  
21, SRSS, 88, -, 1.0, -, 7.4, 23.6, 0.2, "San Fernando", 1971, "Santa Felita Dam (Outlet)", 6.61, Reverse, 24.69, 24.87, 389.0, 0.125, 1.0, RSN88_SFERN_FSD172.AT2, RSN88_SFERN_FSD262.AT2 , RSN88_SFERN_FSD-UP.AT2  
22, SRSS, 90, -, 1.0, -, 28.5, 49.3, 0.0, "San Fernando", 1971, "UCSB - Fluid Mech Lab", 6.61, Reverse, 124.38, 124.41, 322.42, 0.25, 1.0, RSN90_SFERN_SBF042.AT2, RSN90_SFERN_SBF132.AT2 , RSN90_SFERN_SBF-UP.AT2  
23, SRSS, 107, -, 1.0, -, 2.6, 7.5, 0.0, "Oroville-02", 1975, "Oroville Airport", 4.79, Normal, 13.55, 14.07, 391.76, 0.2875, 1.0, RSN107_OROVILLE_B-OAP180.AT2, RSN107_OROVILLE_B-OAP270.AT2 , RSN107_OROVILLE_B-OAPDWN.AT2  
24, SRSS, 108, -, 1.0, -, 3.3, 7.1, 0.0, "Oroville-02", 1975, "Up & Down Cafe (OR1)", 4.79, Normal, 12.07, 12.65, 377.25, 0.5375, 1.0, RSN108_OROVILLE_B-OR1000.AT2, RSN108_OROVILLE_B-OR1270.AT2 , RSN108_OROVILLE_B-OR1DWN.AT2  
25, SRSS, 109, -, 1.0, -, 1.7, 5.1, 0.0, "Oroville-04", 1975, "Medical Center", 4.37, Normal Oblique, 9.22, 10.5, 519.15, 0.3125, 1.0, RSN109_OROVILLE_C-OMC246.AT2, RSN109_OROVILLE_C-OMC336.AT2 , RSN109_OROVILLE_C-OMCDWN.AT2  
26, SRSS, 110, -, 1.0, -, 3.0, 7.7, 0.0, "Oroville-04", 1975, "Oroville Airport", 4.37, Normal Oblique, 13.37, 14.36, 391.76, 0.25, 1.0, RSN110_OROVILLE_C-OAP180.AT2, RSN110_OROVILLE_C-OAP270.AT2 , RSN110_OROVILLE_C-OAPDWN.AT2  
27, SRSS, 111, -, 1.0, -, 2.6, 5.9, 0.0, "Oroville-04", 1975, "Up & Down Cafe (OR1)", 4.37, Normal Oblique, 11.0, 12.18, 377.25, 0.4125, 1.0, RSN111_OROVILLE_C-OR1000.AT2, RSN111_OROVILLE_C-OR1090.AT2 , RSN111_OROVILLE_C-OR1DWN.AT2  
28, SRSS, 112, -, 1.0, -, 1.6, 5.6, 0.1, "Oroville-03", 1975, "Broadbeck Residence", 4.7, Normal, 5.95, 9.25, 427.38, 0.875, 1.0, RSN112_OROVILLE_D-EBH000.AT2, RSN112_OROVILLE_D-EBH090.AT2 , RSN112_OROVILLE_D-EBHDWN.AT2  
29, SRSS, 113, -, 1.0, -, 0.8, 2.8, 0.1, "Oroville-03", 1975, "DWR Garage", 4.7, Normal, 0.0, 6.03, 634.85, 4.125, 1.0, RSN113_OROVILLE_D-DWR090.AT2, RSN113_OROVILLE_D-DWR180.AT2 , RSN113_OROVILLE_D-DWRDWN.AT2  
30, SRSS, 114, -, 1.0, -, 1.3, 4.4, 0.0, "Oroville-03", 1975, "Duffy Residence (OR5)", 4.7, Normal, 7.35, 10.52, 418.97, 0.875, 1.0, RSN114_OROVILLE_D-OR5090.AT2, RSN114_OROVILLE_D-OR5180.AT2 , RSN114_OROVILLE_D-OR5DWN.AT2  
31, SRSS, 115, -, 1.0, -, 1.8, 5.5, 0.1, "Oroville-03", 1975, "Johnson Ranch", 4.7, Normal, 7.38, 9.83, 589.8, 1.25, 1.0, RSN115_OROVILLE_D-DJR000.AT2, RSN115_OROVILLE_D-DJR090.AT2 , RSN115_OROVILLE_D-DJRDWN.AT2  
32, SRSS, 116, -, 1.0, -, 1.5, 4.2, 0.0, "Oroville-03", 1975, "Nelson Ranch (OR7)", 4.7, Normal, 0.77, 6.19, 514.91, 1.25, 1.0, RSN116_OROVILLE_D-OR7180.AT2, RSN116_OROVILLE_D-OR7270.AT2 , RSN116_OROVILLE_D-OR7DWN.AT2  
33, SRSS, 117, -, 1.0, -, 1.4, 5.3, 0.0, "Oroville-03", 1975, "Oroville Airport", 4.7, Normal, 8.67, 11.61, 391.76, 0.625, 1.0, RSN117_OROVILLE_D-OAP180.AT2, RSN117_OROVILLE_D-OAP270.AT2 , RSN117_OROVILLE_D-OAPDWN.AT2  
34, SRSS, 118, -, 1.0, -, 1.1, 4.3, 0.0, "Oroville-03", 1975, "Pacific Heights Rd (OR4)", 4.7, Normal, 8.7, 11.63, 352.22, 0.625, 1.0, RSN118_OROVILLE_D-OR4235.AT2, RSN118_OROVILLE_D-OR4325.AT2 , RSN118_OROVILLE_D-OR4DWN.AT2  
35, SRSS, 119, -, 1.0, -, 1.9, 6.4, 0.0, "Oroville-03", 1975, "Summit Ave (OR6)", 4.7, Normal, 4.79, 7.64, 548.76, 1.25, 1.0, RSN119_OROVILLE_D-OR6035.AT2, RSN119_OROVILLE_D-OR6125.AT2 , RSN119_OROVILLE_D-OR6DWN.AT2  
36, SRSS, 120, -, 1.0, -, 1.0, 4.5, 0.0, "Oroville-03", 1975, "Up & Down Cafe (OR1)", 4.7, Normal, 10.2, 12.79, 377.25, 0.5, 1.0, RSN120_OROVILLE_D-OR1000.AT2, RSN120_OROVILLE_D-OR1090.AT2 , RSN120_OROVILLE_D-OR1DWN.AT2  
37, SRSS, 123, -, 1.0, -, 8.4, 19.1, 0.1, "Friuli_ Italy-01", 1976, "Conegliano", 6.5, Reverse, 80.37, 80.41, 352.05, 0.5, 1.0, RSN123_FRIULI.A_A-CLV000.AT2, RSN123_FRIULI.A_A-CLV270.AT2 , RSN123_FRIULI.A_A-CLV-UP.AT2  
38, SRSS, 138, -, 1.0, -, 14.6, 19.5, 0.3, "Tabas_ Iran", 1978, "Boshrooyeh", 7.35, Reverse, 24.07, 28.79, 324.57, 0.15625, 1.0, RSN138_TABAS_BOS-L1.AT2, RSN138_TABAS_BOS-T1.AT2 , RSN138_TABAS_BOS-V1.AT2  
39, SRSS, 160, -, 1.0, -, 6.1, 9.7, 6.1, "Imperial Valley-06", 1979, "Bonds Corner", 6.53, strike slip, 0.44, 2.66, 223.03, 0.125, 1.0, RSN160_IMPVALL.H_H-BCR140.AT2, RSN160_IMPVALL.H_H-BCR230.AT2 , RSN160_IMPVALL.H_H-BCR-UP.AT2  
40, SRSS, 162, -, 1.0, -, 7.2, 14.8, 0.9, "Imperial Valley-06", 1979, "Calexico Fire Station", 6.53, strike slip, 10.45, 10.45, 231.23, 0.05, 1.0, RSN162_IMPVALL.H_H-CXO225.AT2, RSN162_IMPVALL.H_H-CXO315.AT2 , RSN162_IMPVALL.H_H-CXO-UP.AT2  
41, SRSS, 163, -, 1.0, -, 12.2, 25.9, 0.1, "Imperial Valley-06", 1979, "Calipatria Fire Station", 6.53, strike slip, 23.17, 24.6, 205.78, 0.0875, 1.0, RSN163_IMPVALL.H_H-CAL225.AT2, RSN163_IMPVALL.H_H-CAL315.AT2 , RSN163_IMPVALL.H_H-CAL-UP.AT2  
42, SRSS, 166, -, 1.0, -, 4.7, 11.1, 0.2, "Imperial Valley-06", 1979, "Coachella Canal #4", 6.53, strike slip, 49.1, 50.1, 336.49, 0.1375, 1.0, RSN166_IMPVALL.H_H-CC4045.AT2, RSN166_IMPVALL.H_H-CC4135.AT2 , RSN166_IMPVALL.H_H-CC4-UP.AT2  
43, SRSS, 172, -, 1.0, -, 7.0, 19.5, 0.3, "Imperial Valley-06", 1979, "El Centro Array #1", 6.53, strike slip, 19.76, 21.68, 237.33, 0.1125, 1.0, RSN172_IMPVALL.H_H-E01140.AT2, RSN172_IMPVALL.H_H-E01230.AT2 , RSN172_IMPVALL.H_H-E01-UP.AT2  
44, SRSS, 173, -, 1.0, 4.515, 5.3, 12.8, 0.7, "Imperial Valley-06", 1979, "El Centro Array #10", 6.53, strike slip, 8.6, 8.6, 202.85, 0.075, 1.0, RSN173_IMPVALL.H_H-E10050.AT2, RSN173_IMPVALL.H_H-E10320.AT2 , RSN173_IMPVALL.H_H-E10-UP.AT2  
45, SRSS, 174, -, 1.0, -, 4.6, 9.0, 2.0, "Imperial Valley-06", 1979, "El Centro Array #11", 6.53, strike slip, 12.56, 12.56, 196.25, 0.1, 1.0, RSN174_IMPVALL.H_H-E11140.AT2, RSN174_IMPVALL.H_H-E11230.AT2 , RSN174_IMPVALL.H_H-E11-UP.AT2  
46, SRSS, 178, -, 1.0, 4.501, 5.1, 14.1, 1.2, "Imperial Valley-06", 1979, "El Centro Array #3", 6.53, strike slip, 10.79, 12.85, 162.94, 0.0625, 1.0, RSN178_IMPVALL.H_H-E03140.AT2, RSN178_IMPVALL.H_H-E03230.AT2 , RSN178_IMPVALL.H_H-E03-UP.AT2  
47, SRSS, 182, -, 1.0, 4.375, 2.8, 6.8, 1.7, "Imperial Valley-06", 1979, "El Centro Array #7", 6.53, strike slip, 0.56, 0.56, 210.51, 0.075, 1.0, RSN182_IMPVALL.H_H-E07140.AT2, RSN182_IMPVALL.H_H-E07230.AT2 , RSN182_IMPVALL.H_H-E07-UP.AT2  
48, SRSS, 185, -, 1.0, 4.823, 4.7, 12.8, 0.9, "Imperial Valley-06", 1979, "Holtville Post Office", 6.53, strike slip, 5.35, 7.5, 202.89, 0.075, 1.0, RSN185_IMPVALL.H_H-HVP225.AT2, RSN185_IMPVALL.H_H-HVP315.AT2 , RSN185_IMPVALL.H_H-HVP-UP.AT2  
49, SRSS, 186, -, 1.0, -, 12.0, 26.4, 0.2, "Imperial Valley-06", 1979, "Niland Fire Station", 6.53, strike slip, 35.64, 36.92, 212.0, 0.075, 1.0, RSN186_IMPVALL.H_H-NIL090.AT2, RSN186_IMPVALL.H_H-NIL360.AT2 , RSN186_IMPVALL.H_H-NIL-UP.AT2  
50, SRSS, 190, -, 1.0, -, 6.2, 11.6, 0.2, "Imperial Valley-06", 1979, "Superstition Mtn Camera", 6.53, strike slip, 24.61, 24.61, 362.38, 0.125, 1.0, RSN190_IMPVALL.H_H-SUP045.AT2, RSN190_IMPVALL.H_H-SUP135.AT2 , RSN190_IMPVALL.H_H-SUP-UP.AT2  
51, SRSS, 192, -, 1.0, -, 14.0, 25.6, 0.1, "Imperial Valley-06", 1979, "Westmorland Fire Sta", 6.53, strike slip, 14.75, 15.25, 193.67, 0.0625, 1.0, RSN192_IMPVALL.H_H-WSM090.AT2, RSN192_IMPVALL.H_H-WSM180.AT2 , RSN192_IMPVALL.H_H-WSM-UP.AT2  
52, SRSS, 251, -, 1.0, -, 1.8, 6.1, 0.0, "Mammoth Lakes-07", 1980, "Fish & Game (FIS)", 4.73, strike slip, 3.33, 5.46, 373.18, 0.2875, 1.0, RSN251_MAMMOTH.AH_C-FIS000.AT2, RSN251_MAMMOTH.AH_C-FIS090.AT2 , RSN251_MAMMOTH.AH_C-FIS-UP.AT2  
53, SRSS, 252, -, 1.0, -, 1.4, 8.2, 0.1, "Mammoth Lakes-07", 1980, "Green Church", 4.73, strike slip, 2.84, 5.17, 353.2, 0.25, 1.0, RSN252_MAMMOTH.AH_C-XGR056.AT2, RSN252_MAMMOTH.AH_C-XGR146.AT2 , RSN252_MAMMOTH.AH_C-XGR-UP.AT2  
54, SRSS, 253, -, 1.0, -, 3.1, 10.2, 0.0, "Mammoth Lakes-07", 1980, "Long Valley Fire Sta", 4.73, strike slip, 3.86, 6.25, 377.41, 0.5, 1.0, RSN253_MAMMOTH.AH_C-XLV000.AT2, RSN253_MAMMOTH.AH_C-XLV270.AT2 , RSN253_MAMMOTH.AH_C-XLV-UP.AT2  
55, SRSS, 254, -, 1.0, -, 3.7, 8.7, 0.0, "Mammoth Lakes-07", 1980, "Mammoth Elem School", 4.73, strike slip, 7.17, 8.37, 350.54, 0.7875, 1.0, RSN254_MAMMOTH.AH_C-XMM000.AT2, RSN254_MAMMOTH.AH_C-XMM270.AT2 , RSN254_MAMMOTH.AH_C-XMM-UP.AT2  
56, SRSS, 255, -, 1.0, -, 9.6, 11.3, 0.0, "Mammoth Lakes-07", 1980, "USC Cash Baugh Ranch", 4.73, strike slip, 8.41, 9.46, 323.54, 0.5, 1.0, RSN255_MAMMOTH.AH_C-XCB180.AT2, RSN255_MAMMOTH.AH_C-XCB270.AT2 , RSN255_MAMMOTH.AH_C-XCB-UP.AT2  
57, SRSS, 256, -, 1.0, -, 1.1, 3.1, 0.2, "Mammoth Lakes-07", 1980, "USC McGee Creek Inn", 4.73, strike slip, 0.8, 4.57, 364.84, 0.2875, 1.0, RSN256_MAMMOTH.AH_C-XMG000.AT2, RSN256_MAMMOTH.AH_C-XMG270.AT2 ,  -----   
58, SRSS, 257, -, 1.0, -, 3.5, 10.9, 0.1, "Mammoth Lakes-08", 1980, "Cashbaugh (CBR)", 4.8, strike slip, 8.66, 9.64, 337.6, 0.1875, 1.0, RSN257_MAMMOTH.AH_D-CBR000.AT2, RSN257_MAMMOTH.AH_D-CBR090.AT2 , RSN257_MAMMOTH.AH_D-CBR-UP.AT2  
59, SRSS, 258, -, 1.0, -, 1.6, 4.7, 0.1, "Mammoth Lakes-08", 1980, "Convict Lakes (CON)", 4.8, strike slip, 5.38, 6.84, 472.2, 0.875, 1.0, RSN258_MAMMOTH.AH_D-CON180.AT2, RSN258_MAMMOTH.AH_D-CON270.AT2 , RSN258_MAMMOTH.AH_D-CONDWN.AT2  
60, SRSS, 259, -, 1.0, -, 1.0, 4.8, 0.2, "Mammoth Lakes-08", 1980, "Fish & Game (FIS)", 4.8, strike slip, 3.79, 5.67, 373.18, 0.625, 1.0, RSN259_MAMMOTH.AH_D-FIS000.AT2, RSN259_MAMMOTH.AH_D-FIS090.AT2 , RSN259_MAMMOTH.AH_D-FIS-UP.AT2  
61, SRSS, 261, -, 1.0, -, 4.0, 9.9, 0.0, "Mammoth Lakes-08", 1980, "Long Valley Fire Sta", 4.8, strike slip, 3.65, 5.95, 377.41, 0.25, 1.0, RSN261_MAMMOTH.AH_D-XLV000.AT2, RSN261_MAMMOTH.AH_D-XLV270.AT2 , RSN261_MAMMOTH.AH_D-XLV-UP.AT2  
62, SRSS, 262, -, 1.0, -, 2.4, 5.9, 0.1, "Mammoth Lakes-08", 1980, "Mammoth Elem School", 4.8, strike slip, 7.52, 8.62, 350.54, 0.375, 1.0, RSN262_MAMMOTH.AH_D-XMM000.AT2, RSN262_MAMMOTH.AH_D-XMM270.AT2 , RSN262_MAMMOTH.AH_D-XMM-UP.AT2  
63, SRSS, 263, -, 1.0, -, 0.8, 2.9, 0.1, "Mammoth Lakes-08", 1980, "USC Convict Lakes", 4.8, strike slip, 5.17, 6.67, 454.12, 0.875, 1.0, RSN263_MAMMOTH.AH_D-XCV075.AT2, RSN263_MAMMOTH.AH_D-XCV165.AT2 , RSN263_MAMMOTH.AH_D-XCV-UP.AT2  
64, SRSS, 264, -, 1.0, -, 1.2, 4.5, 0.3, "Mammoth Lakes-08", 1980, "USC McGee Creek Inn", 4.8, strike slip, 0.41, 4.34, 364.84, 0.75, 1.0, RSN264_MAMMOTH.AH_D-XMG000.AT2, RSN264_MAMMOTH.AH_D-XMG270.AT2 , RSN264_MAMMOTH.AH_D-XMG-UP.AT2  
65, SRSS, 270, -, 1.0, -, 1.0, 3.2, 0.1, "Mammoth Lakes-09", 1980, "Convict Lakes (CON)", 4.85, strike slip, 4.83, 7.94, 472.2, 1.0, 1.0, RSN270_MAMMOTH.AH_H-CON180.AT2, RSN270_MAMMOTH.AH_H-CON270.AT2 , RSN270_MAMMOTH.AH_H-CONDWN.AT2  
66, SRSS, 271, -, 1.0, -, 1.7, 4.0, 0.0, "Mammoth Lakes-09", 1980, "Fish & Game (FIS)", 4.85, strike slip, 8.18, 10.32, 373.18, 1.625, 1.0, RSN271_MAMMOTH.AH_H-FIS000.AT2, RSN271_MAMMOTH.AH_H-FIS090.AT2 , RSN271_MAMMOTH.AH_H-FIS-UP.AT2  
67, SRSS, 272, -, 1.0, -, 2.4, 5.9, 0.0, "Mammoth Lakes-09", 1980, "Green Church", 4.85, strike slip, 9.24, 11.18, 353.2, 0.75, 1.0, RSN272_MAMMOTH.AH_H-XGR056.AT2, RSN272_MAMMOTH.AH_H-XGR146.AT2 , RSN272_MAMMOTH.AH_H-XGR-UP.AT2  
68, SRSS, 273, -, 1.0, -, 1.9, 4.6, 0.0, "Mammoth Lakes-09", 1980, "Hot Creek (HCF)", 4.85, strike slip, 10.23, 12.01, 295.93, 0.2875, 1.0, RSN273_MAMMOTH.AH_H-HCF000.AT2, RSN273_MAMMOTH.AH_H-HCF090.AT2 , RSN273_MAMMOTH.AH_H-HCF-UP.AT2  
69, SRSS, 274, -, 1.0, -, 7.7, 16.0, 0.0, "Mammoth Lakes-09", 1980, "Long Valley Fire Sta", 4.85, strike slip, 10.96, 12.64, 377.41, 1.0, 1.0, RSN274_MAMMOTH.AH_H-XLV000.AT2, RSN274_MAMMOTH.AH_H-XLV270.AT2 , RSN274_MAMMOTH.AH_H-XLV-UP.AT2  
70, SRSS, 275, -, 1.0, -, 5.3, 12.7, 0.0, "Mammoth Lakes-09", 1980, "Mammoth Elem School", 4.85, strike slip, 9.63, 11.51, 350.54, 2.5, 1.0, RSN275_MAMMOTH.AH_H-XMM000.AT2, RSN275_MAMMOTH.AH_H-XMM270.AT2 ,  -----   
71, SRSS, 276, -, 1.0, -, 1.8, 5.2, 0.0, "Mammoth Lakes-09", 1980, "McGee Creek (MGE)", 4.85, strike slip, 7.77, 10.01, 425.81, 0.5, 1.0, RSN276_MAMMOTH.AH_H-MGE000.AT2, RSN276_MAMMOTH.AH_H-MGE090.AT2 , RSN276_MAMMOTH.AH_H-MGE-UP.AT2  
72, SRSS, 277, -, 1.0, -, 1.8, 6.3, 0.0, "Mammoth Lakes-09", 1980, "USC Convict Lakes", 4.85, strike slip, 5.44, 8.32, 454.12, 1.625, 1.0, RSN277_MAMMOTH.AH_H-XCV075.AT2, RSN277_MAMMOTH.AH_H-XCV165.AT2 , RSN277_MAMMOTH.AH_H-XCV-UP.AT2  
