
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2019-10-30


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 7	9	14	15	29	40	41	47	51	56	59	67	69	70	76	77	78	80	85	86	87	88	90	107	108	109	110	111	112	113	114	115	116	117	118	119	120	123	138	160	162	163	166	168	172	173	174	177	178	182	185	186	189	190	192	251	252	253	254	255	256	257	258	259	260	261	262	263	264	267	270	271	272	273	274	275	276	277	278	281	282	283	284	285	286	287	288	290	291	292	293	294
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, SRSS
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
0.46,0.27117923,1.2614827,0.05829503,0.13115616,0.16481775,0.35631846,0.61062884,0.11753665,0.06952042,0.0361889,0.09213389,0.17760892,0.04260899,0.01951836,0.12502624,0.32690331,0.03053938,2.81792828,0.26492338,0.30785099,0.10738353,0.04063014,0.12297186,0.19642265,0.06240957,0.02275018,0.0556504,0.12022702,0.03268105,0.05521854,0.12406561,0.0177036,0.0656308,0.02721052,0.02612396,0.07666166,0.08631906,0.03735709,0.05366279,0.14391242,0.39305691,2.17055304,0.78947558,0.18839233,0.50499172,0.29582441,0.63427353,1.06241367,0.62857135,1.18425311,0.65413377,0.33819699,0.18168357,0.30534551,0.22121758,0.45145419,0.05192189,0.17531603,0.10264607,0.22445992,0.16857788,0.19992178,0.34196325,0.07554587,0.20902877,0.15864507,0.12532716,0.04084908,0.02988584,0.03296184,0.02020132,0.01103756,0.01432372,0.05547347,0.01110873,0.04054353,0.31643313,0.27753152,0.13318209,0.16731998,0.45187315,0.37599659,0.11783196,0.40994019,0.30046746,0.29327737,0.89570486,0.20867253,0.11340526
0.48,0.26604256,1.28284547,0.05517316,0.13248436,0.17758235,0.40669984,0.54625706,0.10544679,0.0778716,0.03300064,0.08523648,0.16543951,0.04264546,0.02054999,0.12726038,0.34976056,0.03022171,2.98241894,0.29274921,0.27910028,0.11417431,0.04081524,0.11234341,0.20738134,0.06353682,0.02354656,0.04912758,0.12604592,0.03604802,0.04737339,0.09695872,0.01595572,0.06294012,0.02557213,0.02492823,0.07003192,0.0812759,0.03159965,0.0552916,0.14514632,0.40076835,2.02014358,0.78765804,0.17442434,0.5334025,0.26652963,0.65550174,1.0084577,0.65706694,1.09722092,0.69203489,0.31336197,0.16858168,0.31099329,0.2057402,0.42621352,0.05085887,0.17338921,0.10037805,0.20178676,0.15259373,0.19438717,0.32977685,0.06578602,0.19247987,0.15077816,0.11364324,0.03716844,0.02662071,0.03197656,0.01863414,0.01065726,0.01243264,0.05546504,0.00933614,0.04113973,0.29502876,0.25572427,0.13736827,0.14363416,0.48351492,0.36357744,0.10072319,0.35287153,0.32961923,0.30789824,0.83325879,0.20381256,0.10042251
0.5,0.25948577,1.25834948,0.05350888,0.14452156,0.18830973,0.42293589,0.51710021,0.10198502,0.07641027,0.03568614,0.08957329,0.14022858,0.04379019,0.01924163,0.11547768,0.39313623,0.02982396,2.98217956,0.32579034,0.24055531,0.13491184,0.0463851,0.09865618,0.21070129,0.05849232,0.02659617,0.04597808,0.13394006,0.03993042,0.04377217,0.07963837,0.0140923,0.06017461,0.02432135,0.02290623,0.06263929,0.07746446,0.0275849,0.05627306,0.13692477,0.39001141,1.88797341,0.7522244,0.16032468,0.56180948,0.25715352,0.67384562,0.94819875,0.74397339,0.98953347,0.70149,0.2675631,0.16039656,0.30683627,0.19123937,0.40152058,0.04989842,0.15885064,0.09657259,0.1799129,0.1367767,0.19565058,0.31627574,0.05691192,0.17721252,0.15369045,0.10260566,0.03684985,0.02270984,0.03020466,0.01775425,0.01017839,0.01008982,0.05261727,0.00896699,0.04021327,0.28867188,0.26803771,0.13241935,0.13174553,0.47917294,0.31598255,0.09267226,0.34270521,0.32199965,0.3381978,0.79472496,0.19573311,0.09754853
0.55,0.23695749,1.07480887,0.05224078,0.18987463,0.14680926,0.37613499,0.36343282,0.09642829,0.04416737,0.03460666,0.07812137,0.11392228,0.04529648,0.02125063,0.1096277,0.35885443,0.01954343,1.99518927,0.39786415,0.20487702,0.16725846,0.04602202,0.11203084,0.18433281,0.05619596,0.03012035,0.04593373,0.13716438,0.03720886,0.04346597,0.06977916,0.01012323,0.05160061,0.01986698,0.01999868,0.05526871,0.06714952,0.02189875,0.05998948,0.11963657,0.38687027,2.28144576,0.75523966,0.1648976,0.6170426,0.22579084,0.58966821,0.82336224,0.63536032,0.98956406,0.67574659,0.18517405,0.12695008,0.27579679,0.16765228,0.34338292,0.04824127,0.12848586,0.12935669,0.14779124,0.10581676,0.19755939,0.28414952,0.0485468,0.14627314,0.1518674,0.08436595,0.03471628,0.01752444,0.02547796,0.01663464,0.01174425,0.00866191,0.04409465,0.00863595,0.04490037,0.33710624,0.28535996,0.1080185,0.14219133,0.45403349,0.23566449,0.10974097,0.31717775,0.29053488,0.25088203,0.6924779,0.18761265,0.08770942
0.6,0.21824449,0.96959542,0.04912426,0.1714615,0.11015531,0.31873049,0.45328683,0.08934883,0.04038672,0.02992402,0.07077842,0.10489396,0.03713881,0.01701603,0.11053942,0.38583691,0.01894999,1.46956141,0.3546353,0.22071917,0.1226214,0.03728214,0.11792297,0.17370957,0.07189375,0.03068278,0.04927484,0.12378341,0.03045178,0.04114189,0.06205856,0.00777028,0.04420604,0.01548121,0.01752865,0.04759013,0.05660091,0.01741079,0.0651333,0.1147261,0.27082374,2.2639501,0.52984056,0.1615508,0.56227199,0.18245327,0.42020392,0.71384452,0.67744358,1.05416571,0.53219799,0.17815448,0.12178651,0.24419718,0.14370191,0.29977334,0.04670213,0.11892729,0.12375632,0.13670886,0.08418374,0.16895277,0.25642671,0.03532799,0.12521302,0.12252072,0.07033134,0.02585208,0.01585363,0.02692776,0.01511311,0.00940902,0.00762418,0.03972048,0.00814985,0.04427705,0.39949867,0.35295505,0.08482026,0.17803021,0.43405794,0.2307453,0.11384677,0.29680062,0.31239885,0.24957515,0.7294068,0.21660635,0.08131328
0.65,0.20534384,0.89895793,0.04690552,0.12557831,0.10772812,0.29131162,0.47163869,0.08268081,0.04275205,0.02504965,0.07400845,0.09023001,0.033845,0.01472155,0.10266612,0.5005464,0.019597,1.40222134,0.28275064,0.18167693,0.10159141,0.03889093,0.09540438,0.15588904,0.072481,0.02911803,0.0541051,0.09980828,0.02380043,0.04209611,0.05820102,0.00619955,0.03693831,0.01299921,0.01509556,0.04053544,0.05724193,0.01362283,0.06843146,0.11372783,0.26133805,1.88443899,0.45214013,0.17230038,0.4768353,0.1943006,0.38599744,0.69307,0.59377008,1.32554678,0.5566469,0.1982456,0.08062116,0.22165534,0.13483981,0.27694022,0.04817577,0.09802521,0.14420017,0.12423045,0.06668935,0.15395442,0.23079539,0.02997143,0.10992906,0.11034666,0.06192789,0.01803827,0.01540714,0.02822658,0.01459834,0.00918084,0.0072094,0.03346725,0.00726093,0.04307535,0.31596405,0.30590895,0.07954929,0.12209521,0.43325321,0.1897803,0.09869565,0.25330224,0.40787449,0.24331431,0.64770797,0.2313218,0.08222559
0.667,0.19559221,0.80780136,0.04735856,0.10518427,0.10607087,0.28930403,0.46797221,0.07913485,0.03997162,0.02363379,0.07459144,0.08989755,0.03172946,0.01373504,0.11248357,0.52766699,0.02107589,1.22692697,0.26130107,0.17460002,0.10329231,0.04020875,0.09205444,0.14865492,0.07174439,0.02904517,0.05347924,0.08965019,0.02469898,0.03979201,0.06008521,0.00580683,0.03495809,0.01243798,0.01421118,0.03845467,0.05806301,0.01243115,0.07031854,0.11995092,0.2368367,1.55929809,0.44431373,0.17571428,0.45600109,0.19774894,0.37131623,0.62682084,0.5817226,1.41562687,0.55062665,0.20226336,0.07235359,0.21418604,0.13261943,0.26807571,0.04890344,0.09531253,0.14253553,0.11991879,0.06273377,0.14881209,0.22266722,0.02880086,0.10510035,0.10202271,0.05768658,0.01765629,0.01519607,0.02877134,0.01550864,0.00932109,0.00700972,0.03100529,0.00704911,0.04179604,0.27325059,0.27652223,0.07300958,0.1169315,0.43190141,0.17750909,0.09298431,0.23130442,0.41761531,0.23343863,0.59851968,0.23540578,0.08458813
0.7,0.1879165,0.80605866,0.04380899,0.08322541,0.08950439,0.32228088,0.46493516,0.07322911,0.03821297,0.02014127,0.07345026,0.08909945,0.02670536,0.01283886,0.09956131,0.53465528,0.02262617,1.10049997,0.23149727,0.20116362,0.09802939,0.04010978,0.08713805,0.14682873,0.06784759,0.028708,0.04997679,0.0794593,0.02626734,0.0347105,0.06658487,0.00518897,0.03211834,0.01126716,0.0125125,0.03451863,0.05829676,0.01037756,0.07536641,0.13862418,0.23403367,1.50922844,0.44500093,0.17584579,0.41455345,0.20240247,0.34404333,0.58183122,0.60590568,1.53076053,0.52767551,0.17485071,0.07710674,0.19958893,0.12729463,0.2392857,0.0486331,0.08819907,0.12741011,0.11271299,0.06154198,0.13783406,0.20763071,0.02708322,0.0960543,0.09649923,0.04855394,0.01666424,0.0143745,0.02895685,0.01648486,0.00965103,0.00636192,0.02667281,0.00733901,0.03991208,0.21888534,0.2171538,0.0640602,0.11735322,0.4046066,0.1760051,0.07820434,0.20649237,0.38823989,0.23367413,0.55555953,0.22025984,0.0847897
0.75,0.17677455,0.78726383,0.03969348,0.07509524,0.09334206,0.32369126,0.36322929,0.07990615,0.02839574,0.01781144,0.06484884,0.078375,0.02558523,0.01572651,0.08604553,0.47448223,0.01903443,1.07792202,0.21468882,0.24446065,0.09142679,0.03980496,0.08887687,0.14534119,0.06712861,0.02895449,0.04769791,0.06510994,0.02148455,0.03951539,0.06943464,0.00449834,0.03178718,0.0092232,0.01051004,0.02948097,0.05550416,0.00788899,0.07724816,0.14996702,0.22596513,1.38109946,0.39309751,0.16612073,0.34640639,0.17579367,0.32820459,0.60844964,0.53593217,1.57045192,0.49522669,0.13082714,0.07208272,0.18135938,0.1168356,0.20314442,0.04820227,0.0732818,0.12554221,0.10334269,0.0490501,0.12463181,0.18680993,0.02505976,0.08367436,0.08961699,0.03930423,0.01703353,0.01221438,0.0289468,0.01596904,0.01028038,0.00512035,0.02147409,0.0066428,0.03769519,0.21344421,0.19676735,0.06123038,0.10638691,0.38875538,0.19086211,0.06709518,0.19718457,0.36228441,0.21928587,0.53292035,0.18815031,0.07983017
0.8,0.1716019,0.79160293,0.03719947,0.0733513,0.103499,0.35223684,0.42171166,0.0778859,0.02075005,0.01634763,0.06902887,0.06074295,0.02636572,0.01632232,0.07720574,0.40137906,0.01632774,1.23729414,0.19947325,0.23928307,0.09938108,0.03521763,0.07668508,0.13948903,0.06216581,0.0276405,0.04806733,0.05415538,0.0214634,0.04146648,0.06594265,0.00397167,0.03112298,0.00824324,0.00865576,0.02488872,0.05050154,0.00625652,0.06983715,0.1430007,0.23995888,1.34012708,0.31206259,0.1526659,0.28236262,0.1434314,0.32102421,0.54093945,0.47555593,1.49169117,0.46930563,0.13667545,0.0635979,0.16681433,0.10552795,0.18060559,0.04703309,0.0653973,0.11818131,0.09404391,0.04346334,0.11281994,0.16901335,0.023017,0.07447432,0.07673293,0.03448854,0.01574201,0.01159035,0.02873895,0.01399201,0.01035609,0.00435683,0.01762905,0.00477225,0.0301754,0.24933831,0.22249402,0.06236976,0.09959959,0.38742372,0.20995565,0.05748792,0.17403036,0.43942332,0.2129217,0.53510005,0.17162954,0.09026765
0.85,0.16573891,0.7911272,0.03472183,0.07834224,0.09695229,0.37764738,0.42879221,0.08098602,0.01994042,0.01336254,0.06865827,0.0549078,0.03143958,0.01709273,0.06672237,0.38210396,0.0155919,1.33759509,0.23558404,0.21176726,0.10576069,0.03265605,0.06542589,0.13741441,0.06363775,0.02808124,0.05039916,0.04347611,0.02282873,0.04673564,0.05779798,0.00352731,0.03194241,0.00727301,0.00759002,0.02250993,0.04709574,0.0054823,0.06156392,0.11408076,0.25735469,1.33524157,0.29649267,0.14123303,0.23844717,0.11833816,0.29241609,0.41098831,0.45487847,1.37263134,0.43984695,0.11997559,0.06260664,0.15417548,0.09946921,0.15882453,0.044199,0.05378284,0.1198287,0.08264774,0.03395891,0.09648235,0.15258437,0.02121092,0.06638473,0.06546876,0.03290611,0.01279919,0.01090455,0.02762957,0.01617623,0.00892697,0.00371916,0.01531189,0.00395754,0.01966781,0.28664552,0.27146305,0.07267344,0.09329262,0.38595063,0.21540302,0.06076009,0.15735873,0.46614456,0.18376703,0.52620219,0.14436638,0.07528656
0.9,0.15524414,0.71750812,0.03358951,0.07081931,0.08776278,0.37740037,0.35169525,0.07611284,0.01831215,0.01015914,0.07523953,0.05330656,0.0336382,0.01911375,0.06173852,0.39944838,0.01372074,1.38574803,0.24538108,0.19941269,0.10538411,0.03219837,0.05675911,0.16826912,0.06378141,0.03013245,0.05316212,0.03493024,0.02266548,0.04427573,0.05008906,0.00313545,0.03151293,0.00643643,0.00671519,0.0203788,0.04292826,0.00515166,0.05434935,0.10049039,0.26382139,1.07146575,0.2529869,0.13854823,0.20108813,0.11333777,0.296764,0.35268897,0.41316501,1.21403241,0.41409485,0.13499273,0.05759703,0.14936174,0.10214657,0.13843836,0.04122074,0.04715528,0.13140301,0.07414976,0.03206733,0.07867284,0.13608149,0.01936094,0.06241188,0.05628583,0.02669032,0.00976862,0.00999374,0.02583164,0.01860503,0.00819619,0.00326862,0.01379406,0.00343912,0.01575335,0.28959543,0.27116903,0.07390413,0.08466201,0.38691059,0.2363221,0.06534655,0.15901387,0.39825183,0.16848796,0.49926546,0.110861,0.06677178
0.95,0.14365887,0.65422334,0.03154561,0.05447707,0.07952886,0.39408086,0.27106667,0.06895992,0.02055428,0.00841271,0.07273345,0.04914477,0.03372639,0.01972245,0.05638763,0.41521755,0.01337035,1.40089343,0.19804101,0.18456027,0.10800343,0.03510251,0.05362344,0.19710045,0.05837194,0.03233182,0.04905624,0.03031586,0.02501711,0.03918375,0.04097735,0.00277794,0.02938046,0.0057441,0.00585102,0.01898213,0.03743626,0.0045453,0.04735247,0.09540013,0.24494109,0.80011513,0.22941834,0.1439422,0.16495692,0.11271659,0.3181695,0.3095096,0.35713207,1.05752393,0.42245856,0.15477858,0.05142841,0.13844368,0.09612712,0.12896952,0.03525065,0.04125393,0.12761861,0.06694857,0.03562833,0.06878916,0.12614874,0.01820777,0.05781497,0.04853987,0.02391278,0.008858,0.00898531,0.02400077,0.01809889,0.00758142,0.0026986,0.01237562,0.00333521,0.01357326,0.24038952,0.22822728,0.06154706,0.08047351,0.38923603,0.26732252,0.05989005,0.15278366,0.31936,0.15146796,0.48831558,0.09665061,0.08131627
1.0,0.13544184,0.6400736,0.02865997,0.04455449,0.07474993,0.39135433,0.23829159,0.06586934,0.02079305,0.00734678,0.06679777,0.04426452,0.03130008,0.01819427,0.05134107,0.41578239,0.0147848,1.45811371,0.20583206,0.16440732,0.10184111,0.03163992,0.04805792,0.18814192,0.05708452,0.03452992,0.0440159,0.02736591,0.02738295,0.03770461,0.03155969,0.00245337,0.02759068,0.00526904,0.00505429,0.01862849,0.03125932,0.0040727,0.04088306,0.08544203,0.19676191,0.62047665,0.24183095,0.14123074,0.14929475,0.12506572,0.36473485,0.33669981,0.3024382,0.93904397,0.43219324,0.15931328,0.05241104,0.13276727,0.08447177,0.12013772,0.03137705,0.03929389,0.09495354,0.05990901,0.03347095,0.06139041,0.11562826,0.01713066,0.05364186,0.04599669,0.02160156,0.0078384,0.00804514,0.02209414,0.01598284,0.0084223,0.00206385,0.01101965,0.00317608,0.01210171,0.19510221,0.18355148,0.04557723,0.08192317,0.39037481,0.28221647,0.06501906,0.15718286,0.24278565,0.13247217,0.47343657,0.08164813,0.08894379
1.1,0.12647244,0.66152322,0.02417947,0.04138648,0.06778466,0.31536686,0.21892338,0.06432511,0.0163896,0.00545689,0.05641776,0.03650059,0.02648314,0.01154322,0.06054891,0.40327868,0.01426157,1.450158,0.20518521,0.14611981,0.08569144,0.0354832,0.04426797,0.13519083,0.04622794,0.03927823,0.04440448,0.02250335,0.03096034,0.0386166,0.02081216,0.00190887,0.0224246,0.00421578,0.00374601,0.01734426,0.02393314,0.00349595,0.03213559,0.07323799,0.14921141,0.68585722,0.23411094,0.15434342,0.13187774,0.12477071,0.4286198,0.37280702,0.31299794,0.85951182,0.46351924,0.14867952,0.03970571,0.12111522,0.06228087,0.09607746,0.02725101,0.03279872,0.06265099,0.0473015,0.02613923,0.04557673,0.09457013,0.01564336,0.04588131,0.03328153,0.01734884,0.00680321,0.00590451,0.02117934,0.01175171,0.00781983,0.00166508,0.00851898,0.00252415,0.00774917,0.12273846,0.11291096,0.03563574,0.0693634,0.38853368,0.22989747,0.05280758,0.15129028,0.1900179,0.11128184,0.4670973,0.07882872,0.09237254
1.2,0.1177048,0.62513548,0.02216227,0.03890017,0.0769277,0.29398783,0.20660291,0.05704777,0.01359463,0.00542486,0.06263903,0.03024959,0.02344045,0.0107351,0.05464466,0.34729626,0.01255879,1.33781897,0.24158391,0.11593473,0.07474597,0.03159859,0.04088502,0.112047,0.04352312,0.04162924,0.04544942,0.01856158,0.03387758,0.03665047,0.0147233,0.00150341,0.01682995,0.00346427,0.00309437,0.01592487,0.02028394,0.00309102,0.02651295,0.05488238,0.17492718,0.582505,0.20226783,0.13213933,0.12050612,0.11096194,0.47950662,0.38322766,0.33463393,0.75972569,0.42969634,0.10427855,0.04110416,0.10634131,0.04780154,0.07250481,0.02178129,0.02673321,0.05688026,0.03683998,0.01903487,0.03411346,0.07523901,0.01402767,0.03981693,0.0266472,0.01471557,0.00563345,0.00397642,0.01735535,0.0078651,0.00537839,0.00134019,0.00668092,0.00201817,0.00681668,0.09878833,0.08788639,0.04238453,0.0789415,0.47380027,0.20421674,0.04408187,0.15028826,0.14223166,0.08867955,0.48966973,0.06769153,0.08026463
1.3,0.10784749,0.56313429,0.02065419,0.04129216,0.08793266,0.27264699,0.18554482,0.05723122,0.00967411,0.00567086,0.06002705,0.03160203,0.02200914,0.01080032,0.05165373,0.27788539,0.01248335,1.19031973,0.25545047,0.08496038,0.05579407,0.0240485,0.03661212,0.10418853,0.04126464,0.04160009,0.04247363,0.01561232,0.03494762,0.03819593,0.01126709,0.00124258,0.01350818,0.00282031,0.00230708,0.0142405,0.01842701,0.00275777,0.02165728,0.05122887,0.20231923,0.44013878,0.20663635,0.11523371,0.12258284,0.0860382,0.50204061,0.3953975,0.33669367,0.66849339,0.37339349,0.09859126,0.0492294,0.10732355,0.03730334,0.05757259,0.01921224,0.02060377,0.05109979,0.02909327,0.01541264,0.02657871,0.05661283,0.01267347,0.03410121,0.02064015,0.01403952,0.0042946,0.00322001,0.01404687,0.00677161,0.00400057,0.00109411,0.00549681,0.00165675,0.00522491,0.07890405,0.06580947,0.04448992,0.07329903,0.45279466,0.20688737,0.04265296,0.13470148,0.10581977,0.07258995,0.48690948,0.05706244,0.07672341
1.4,0.09883962,0.50992071,0.01915841,0.03733083,0.10606666,0.27018101,0.17481463,0.04726861,0.00712084,0.00541866,0.051771,0.02751737,0.01795024,0.01088966,0.04841599,0.21969629,0.01335527,1.05241058,0.25419129,0.06548138,0.05326629,0.02162302,0.03254857,0.08862905,0.0442262,0.03972136,0.03801895,0.01344226,0.0331073,0.03838514,0.0093174,0.00109406,0.01069235,0.00231663,0.00199267,0.01143462,0.01571566,0.00250143,0.01788988,0.04417006,0.18787402,0.33579171,0.21821708,0.10848333,0.12063962,0.08898691,0.49731027,0.37638089,0.31776462,0.63312005,0.34418053,0.08096676,0.05144708,0.12051253,0.03094588,0.04718024,0.01776938,0.01674605,0.0363329,0.02464461,0.01315591,0.02071575,0.04793682,0.01122993,0.02888401,0.01440398,0.01106178,0.00329236,0.0026456,0.01260523,0.00790195,0.00368296,0.00090931,0.00453454,0.001582,0.00396148,0.06564264,0.0582906,0.03775315,0.06956909,0.38345171,0.20775427,0.03636112,0.11750531,0.07995366,0.07120102,0.46539935,0.059612,0.07394225
1.5,0.09195562,0.47047915,0.01797282,0.03568351,0.09882266,0.26215363,0.1738807,0.0369953,0.0059608,0.00481109,0.04928348,0.02772482,0.01428814,0.01027197,0.04662461,0.1847722,0.01164034,0.94842573,0.25434274,0.05310467,0.04673443,0.02099937,0.03233022,0.07408047,0.04255095,0.03603231,0.03255355,0.01178839,0.03153968,0.03558178,0.00770492,0.0009644,0.00840943,0.00195444,0.00176078,0.00921776,0.01390213,0.00224658,0.01495553,0.03577881,0.20176438,0.3242363,0.20659861,0.10461775,0.11031749,0.09607382,0.46935909,0.37020137,0.29279525,0.57747817,0.31541144,0.08185225,0.04588995,0.10987169,0.0264797,0.03836245,0.01559243,0.01509895,0.02532997,0.02122342,0.01180526,0.01666804,0.04131156,0.0099923,0.0244705,0.01213152,0.00963633,0.00296051,0.00219856,0.01058321,0.00769367,0.00363795,0.00076946,0.00371639,0.00159927,0.00333772,0.05781071,0.0518902,0.03290301,0.07359292,0.35044965,0.18796403,0.02598153,0.11477019,0.0591945,0.07655136,0.44810975,0.06564409,0.07238199
1.6,0.08593802,0.43045727,0.01715697,0.03075612,0.08120442,0.24471311,0.19530641,0.02951307,0.00506096,0.00404115,0.04752139,0.02946747,0.01236219,0.00941727,0.03870474,0.15374679,0.01111891,0.85008152,0.2378558,0.04609671,0.03988244,0.02108549,0.02882271,0.06156165,0.05495411,0.03270988,0.02899333,0.01027594,0.02857259,0.03114422,0.00641057,0.00085194,0.00714321,0.00164935,0.00156178,0.00756915,0.01131331,0.00200295,0.01257855,0.03253025,0.20907484,0.3408405,0.19063688,0.09792692,0.09837963,0.10938602,0.43712272,0.34222631,0.27094268,0.53235101,0.28499249,0.07674793,0.04549529,0.11247987,0.02251664,0.03288139,0.01347875,0.01275685,0.02022065,0.01841139,0.01020531,0.0135264,0.03566718,0.00874901,0.0210647,0.01056421,0.00860661,0.0025662,0.00186179,0.00851859,0.00670104,0.0034526,0.00066061,0.00312112,0.0013384,0.00278555,0.05756993,0.05491798,0.0330624,0.06985377,0.32760521,0.16406583,0.02357897,0.10465181,0.04955355,0.09243914,0.41768306,0.06931492,0.0695336
1.7,0.07983269,0.3981381,0.01600766,0.02540952,0.05733684,0.21565658,0.18024598,0.03041743,0.00469209,0.00335121,0.03643543,0.02444075,0.01088468,0.00788141,0.03974607,0.13241752,0.01135023,0.75585545,0.22128786,0.04001159,0.03434607,0.02440006,0.02709725,0.05483958,0.05917276,0.02963157,0.02612179,0.00908931,0.02597674,0.02621858,0.00537716,0.00075484,0.00614132,0.00140013,0.00138475,0.00647468,0.00883576,0.00177983,0.01060946,0.03381944,0.19378718,0.30534554,0.17024793,0.0894374,0.09255629,0.11336526,0.40442296,0.33045302,0.24910749,0.52747852,0.26732217,0.06337157,0.04381669,0.11923915,0.01906731,0.02880416,0.0122658,0.01114493,0.01778496,0.01597788,0.00841232,0.01134497,0.0308248,0.00754542,0.01951996,0.0092638,0.00757779,0.00217192,0.00160248,0.00633949,0.00476502,0.00303903,0.00057337,0.00278515,0.00084441,0.00232234,0.06439338,0.06220342,0.0355409,0.05514022,0.30282488,0.18732502,0.02320237,0.08782625,0.04665833,0.08272273,0.39947362,0.05898993,0.07449032
1.8,0.07488478,0.37601108,0.01491374,0.02235048,0.05899618,0.19667557,0.15234702,0.02968652,0.00398142,0.00331592,0.03133342,0.01835191,0.00970956,0.00747487,0.03968014,0.11490009,0.01481854,0.67547738,0.18721884,0.03714572,0.03376808,0.02354375,0.02489233,0.04892072,0.04860377,0.02617367,0.02276477,0.00820245,0.02267771,0.02264868,0.00454331,0.00067116,0.00527082,0.00122492,0.00123067,0.00593254,0.00762079,0.00158074,0.00901499,0.03370715,0.1877938,0.28273646,0.14455477,0.08680347,0.08767283,0.11061986,0.3820528,0.33018007,0.26544229,0.52272447,0.24747707,0.06746305,0.0390942,0.12087532,0.01612411,0.02546707,0.01044376,0.01014271,0.0160656,0.01388165,0.00777508,0.00979339,0.02664618,0.00668762,0.01931095,0.00816606,0.00634547,0.00186756,0.00139417,0.00504391,0.00357143,0.00254511,0.00050224,0.00254442,0.00068598,0.0019955,0.06686674,0.06262142,0.03439393,0.04576139,0.27531876,0.20114462,0.01967932,0.07265352,0.04716644,0.06348298,0.39506608,0.05412978,0.07285911
1.9,0.07045821,0.35493072,0.01398684,0.02160479,0.06542112,0.21147919,0.12688806,0.02626526,0.00357041,0.0030604,0.02891219,0.01636892,0.00943765,0.00823298,0.03972898,0.09981171,0.01777934,0.60119836,0.15570174,0.03426998,0.03161646,0.02213225,0.02229571,0.04879282,0.04378487,0.02268917,0.01915943,0.00735205,0.01928776,0.01892494,0.00388376,0.00059906,0.00452938,0.00108816,0.00109684,0.00536336,0.00638748,0.00140574,0.00773797,0.0306548,0.16813574,0.29470671,0.12342561,0.078816,0.07868892,0.10864219,0.36492793,0.30780958,0.28522753,0.5114019,0.22531917,0.06375189,0.03455669,0.12880925,0.0136686,0.02269332,0.00887472,0.01021511,0.01321758,0.01242016,0.00731212,0.00850895,0.02304242,0.00596573,0.01762588,0.00723121,0.00553928,0.00164577,0.00122092,0.00414252,0.00316255,0.00224236,0.00044362,0.00232528,0.00062312,0.00180257,0.06308026,0.05916261,0.03144569,0.03954773,0.24459556,0.2154269,0.01759963,0.05999705,0.0481747,0.060066,0.36594709,0.04301206,0.07469509
2.0,0.0655567,0.33830407,0.0127036,0.02144272,0.0583141,0.19718941,0.10753988,0.02507247,0.00307696,0.00285105,0.02416165,0.01814399,0.00876038,0.00903534,0.03709985,0.08686666,0.01773593,0.53359557,0.13660653,0.03115549,0.02783335,0.02289815,0.01862606,0.05207408,0.03906301,0.01940127,0.01741737,0.006569,0.01709518,0.01694051,0.00335397,0.00053685,0.00391219,0.00097042,0.00098094,0.00478374,0.00526266,0.00125318,0.00675251,0.02412108,0.13576808,0.30052982,0.10541303,0.07265389,0.07151216,0.10584694,0.34745527,0.27983799,0.28760401,0.50626734,0.21597447,0.05417036,0.03121004,0.12910721,0.01164033,0.02034442,0.00737084,0.01037459,0.01081071,0.01119991,0.00726899,0.0074438,0.01995187,0.00533397,0.01636357,0.0064338,0.00490008,0.00145322,0.0010742,0.00343114,0.00286281,0.00210647,0.00039493,0.00212702,0.00055494,0.00163008,0.05394802,0.05398931,0.02797548,0.03362922,0.21499225,0.21642387,0.01669156,0.05009257,0.04342171,0.0574793,0.35069255,0.03549256,0.07613206
