Period(s),target_spectrum,sigma(ln),mean_spectrum,RS_1,RS_2,RS_3,RS_4,RS_5
0.0,1.090606,1e-05,1.090606,1.0906059999999997,1.090606,1.090606,1.090606,1.0906059999999997
0.01,1.09825349258672,0.016880260782655247,1.0950819246718488,1.0916972584767015,1.0935357252579896,1.0912020312811324,1.0961607546490237,1.102813853694397
0.1,1.6950302259829417,0.24361923287554577,2.693521846192541,1.8598421668401834,3.9452962927275754,1.6883190590525485,2.5647521733863705,3.409399538956026
0.2,2.1702134853104162,0.30622207521578215,2.8530846321342596,3.625405713072412,2.2698475877250845,2.082445089055953,3.5511725511727508,2.7365522196450964
0.3,1.9589108250586955,0.3889853535150847,2.8328483820634482,3.141970715797397,1.5281983450233383,4.3649729259536825,1.9333116427095585,3.1957882808332636
0.4,1.7706443089489972,0.46235272004257866,1.6010770569990576,1.8003195736767263,1.2810523898463446,3.329987365746679,0.7736958701015665,0.8203300856239717
0.5,1.4996247453508842,0.5218479135550133,1.1709865442162015,1.1334942981472864,0.9192897798758174,2.9523971601155266,0.3775380140363149,0.4722134689060628
