Period(s),target_spectrum,sigma(ln),mean_spectrum,RS_1,RS_2,RS_3,RS_4,RS_5,RS_6,RS_7,RS_8,RS_9,RS_10
0.0,0.5017835853718463,0.2854866487522565,0.3986065900021461,0.17652873786407763,0.3337091463414634,0.28406130841121496,0.4554689808917198,0.41923531034482764,0.3722344720496895,0.779283853211009,0.30420822580645157,0.3926922516556291,0.4686436134453781
0.01,0.5045578161462957,0.28701509685283844,0.40081670497172006,0.18179825242718448,0.3337091463414634,0.28532943925233645,0.45892605095541406,0.42204268965517244,0.37363913043478264,0.779283853211009,0.30712629032258065,0.39538807947019866,0.47092411764705877
0.1,0.8165079090117296,0.3444916655460651,1.1329317053117658,0.6073115533980582,0.8963262195121952,0.7672191588785047,1.8149617834394904,1.590848275862069,0.9509537267080747,0.9784618348623851,0.9921419354838711,1.4198026490066227,1.3112899159663864
0.2,1.3569,1e-05,1.3568999999999998,1.3569,1.3569,1.3569000000000002,1.3569,1.3569,1.3569,1.3569,1.3569000000000002,1.3569,1.3569
0.3,1.1632380911990199,0.33109036747954335,1.30755569209912,0.67845,1.5361652439024391,0.7646828971962617,0.7277132484076433,1.366257931034483,1.5170310559006213,2.3428310091743114,1.0067322580645166,1.3569,1.7787932773109243
0.4,1.0064390405101005,0.45145306737855656,1.3003746777963283,0.49796912621359224,1.00112743902439,0.811603738317757,0.8608104458598727,1.0012986206896552,1.952475155279503,2.185978348623853,1.345957258064516,1.5905384105960265,1.7559882352941176
0.5,0.829122159444249,0.5342734969963194,1.1423017500412826,0.2674278640776699,0.9956115853658535,1.33153738317757,0.7674695541401274,0.9451510344827587,1.2023875776397515,2.1287146788990823,0.802467741935484,1.2490668874172184,1.733183193277311
